Sox2 Nanog Gata6 Tbx3 Oct4 Klf4 up down total
pert_445 nochange up nochange nochange nochange nochange 1 0 1
pert_418 nochange up down nochange nochange nochange 1 1 2
pert_436 nochange up nochange down nochange nochange 1 1 2
pert_446 nochange up nochange nochange nochange up 2 0 2
pert_454 nochange up nochange up nochange nochange 2 0 2
pert_409 nochange up down down nochange nochange 1 2 3
pert_419 nochange up down nochange nochange up 2 1 3
pert_427 nochange up down up nochange nochange 2 1 3
pert_437 nochange up nochange down nochange up 2 1 3
pert_455 nochange up nochange up nochange up 3 0 3
pert_473 nochange up up nochange nochange up 3 0 3
pert_410 nochange up down down nochange up 2 2 4
pert_428 nochange up down up nochange up 3 1 4
pert_464 nochange up up down nochange up 3 1 4
pert_482 nochange up up up nochange up 4 0 4
