name Oct4 Sox2 Nanog EpiTFs Lefty1 Pitx2 Esrrb
pert_8 39.789 -15.334000000000001 -15.12 1.068 2.613 -0.031 0.5
pert_16 39.789 -15.334000000000001 -15.12 3.2439999999999998 3.273 0.664 -2.18
pert_17 39.789 -15.334000000000001 -15.12 1.068 2.613 -0.031 0.5
pert_23 -1.4909999999999999 -15.334000000000001 -15.12 0.44799999999999995 -0.5760000000000001 2.1919999999999997 0.981
pert_24 39.789 -15.334000000000001 -15.12 4.056 3.52 0.924 -3.18
pert_25 39.789 -15.334000000000001 -15.12 3.2439999999999998 3.273 0.664 -2.18
pert_26 39.789 -15.334000000000001 -15.12 1.068 2.613 -0.031 0.5
pert_35 39.789 -15.334000000000001 -15.12 1.068 2.613 -0.031 0.5
pert_44 39.789 -15.334000000000001 -15.12 1.068 2.613 -0.031 0.5
pert_52 39.789 -15.334000000000001 -15.12 3.2439999999999998 3.273 0.664 -2.18
pert_53 39.789 -15.334000000000001 -15.12 1.068 2.613 -0.031 0.5
pert_71 39.789 -15.334000000000001 -15.12 1.068 2.613 -0.031 0.5
pert_80 39.789 -15.334000000000001 -15.12 1.068 2.613 -0.031 0.5
pert_87 39.789 -15.334000000000001 0.364 3.988 2.542 0.659 -2.003
pert_88 39.789 -15.334000000000001 1.369 2.9619999999999997 2.169 0.316 -0.67
pert_89 39.789 -15.334000000000001 3.303 0.986 1.449 -0.34600000000000003 1.9
pert_95 -0.431 -15.334000000000001 0.589 0.39399999999999996 -1.486 1.867 2.1630000000000003
pert_96 39.789 -15.334000000000001 0.626 3.986 2.526 0.655 -1.983
pert_97 39.789 -15.334000000000001 1.851 2.9539999999999997 2.136 0.306 -0.626
pert_98 39.789 -15.334000000000001 4.191 0.982 1.393 -0.361 1.9669999999999999
pert_101 -17.053 -15.334000000000001 0.304 0.146 -2.752 2.767 2.335
pert_104 -0.087 -15.334000000000001 1.8530000000000002 0.39399999999999996 -1.5390000000000001 1.827 2.255
pert_105 39.789 -15.334000000000001 2.556 3.978 2.404 0.622 -1.837
pert_106 39.789 -15.334000000000001 3.588 2.924 2.02 0.26899999999999996 -0.467
pert_107 39.789 -15.334000000000001 5.495 0.976 1.311 -0.38299999999999995 2.066
pert_115 39.789 -15.334000000000001 -0.21899999999999997 2.989 2.275 0.349 -0.815
pert_116 39.789 -15.334000000000001 1.8880000000000001 0.992 1.5390000000000001 -0.322 1.7919999999999998
pert_122 -1.1340000000000001 -15.334000000000001 -1.002 0.391 -1.44 1.932 2.05
pert_124 39.789 -15.334000000000001 0.247 2.9810000000000003 2.244 0.34 -0.772
pert_125 39.789 -15.334000000000001 2.7760000000000002 0.988 1.483 -0.337 1.86
pert_131 -0.769 -15.334000000000001 0.321 0.391 -1.495 1.89 2.147
pert_132 39.789 -15.334000000000001 0.97 3.985 2.504 0.649 -1.9569999999999999
pert_133 39.789 -15.334000000000001 2.062 2.95 2.122 0.301 -0.606
pert_134 39.789 -15.334000000000001 4.138999999999999 0.982 1.3969999999999998 -0.36 1.963
pert_143 39.789 -15.334000000000001 -2.5069999999999997 1.012 1.8159999999999998 -0.247 1.4580000000000002
pert_152 39.789 -15.334000000000001 -1.712 1.008 1.766 -0.26 1.5190000000000001
pert_161 39.789 -15.334000000000001 -0.315 1.002 1.6780000000000002 -0.284 1.625
pert_164 -17.053 -15.334000000000001 35.281 -0.009000000000000001 -4.96 2.17 4.993
pert_165 -2.205 -15.334000000000001 35.281 3.202 -2.906 2.325 1.141
pert_166 -0.826 -15.334000000000001 35.281 2.298 -3.08 1.955 2.263
pert_167 2.252 -15.334000000000001 35.281 0.281 -3.469 1.13 4.768
pert_168 39.789 -15.334000000000001 35.281 3.833 0.33799999999999997 0.063 0.65
pert_169 39.789 -15.334000000000001 35.281 2.383 -0.10300000000000001 -0.4 2.436
pert_170 39.789 -15.334000000000001 35.281 0.8440000000000001 -0.57 -0.892 4.33
pert_172 -17.053 -15.334000000000001 35.281 2.2640000000000002 -4.27 2.8960000000000004 2.195
pert_173 -17.053 -15.334000000000001 35.281 -0.009000000000000001 -4.96 2.17 4.993
pert_174 -2.024 -15.334000000000001 35.281 3.205 -2.892 2.315 1.138
pert_175 -0.606 -15.334000000000001 35.281 2.298 -3.0639999999999996 1.942 2.2640000000000002
pert_176 2.541 -15.334000000000001 35.281 0.285 -3.447 1.114 4.765
pert_177 39.789 -15.334000000000001 35.281 3.833 0.33799999999999997 0.063 0.65
pert_178 39.789 -15.334000000000001 35.281 2.383 -0.10300000000000001 -0.4 2.436
pert_179 39.789 -15.334000000000001 35.281 0.8440000000000001 -0.57 -0.892 4.33
pert_180 -17.053 -15.334000000000001 35.281 2.98 -4.053 3.125 1.314
pert_181 -17.053 -15.334000000000001 35.281 2.2640000000000002 -4.27 2.8960000000000004 2.195
pert_182 -17.053 -15.334000000000001 35.281 -0.009000000000000001 -4.96 2.17 4.993
pert_183 -1.781 -15.334000000000001 35.281 3.2089999999999996 -2.873 2.302 1.136
pert_184 -0.39299999999999996 -15.334000000000001 35.281 2.299 -3.049 1.93 2.265
pert_185 2.677 -15.334000000000001 35.281 0.287 -3.4360000000000004 1.107 4.763
pert_186 39.789 -15.334000000000001 35.281 3.833 0.33799999999999997 0.063 0.65
pert_187 39.789 -15.334000000000001 35.281 2.383 -0.10300000000000001 -0.4 2.436
pert_188 39.789 -15.334000000000001 35.281 0.8440000000000001 -0.57 -0.892 4.33
pert_191 -17.053 -15.334000000000001 35.281 -0.009000000000000001 -4.96 2.17 4.993
pert_193 -1.077 -15.334000000000001 35.281 2.2969999999999997 -3.0989999999999998 1.97 2.262
pert_194 2.044 -15.334000000000001 35.281 0.278 -3.485 1.141 4.771
pert_195 39.789 -15.334000000000001 35.281 3.833 0.33799999999999997 0.063 0.65
pert_196 39.789 -15.334000000000001 35.281 2.383 -0.10300000000000001 -0.4 2.436
pert_197 39.789 -15.334000000000001 35.281 0.8440000000000001 -0.57 -0.892 4.33
pert_199 -17.053 -15.334000000000001 35.281 2.2640000000000002 -4.27 2.8960000000000004 2.195
