name Oct4 Sox2 Nanog EpiTFs Gata6 Lefty1 Pitx2 Esrrb Tbx3
pert_2 -16.897000000000002 4.187 36.184 0.29100000000000004 -4.9 -1.879 0.79 2.407 2.9339999999999997
pert_5 0.9079999999999999 7.33 36.184 0.111 -5.051 -0.11900000000000001 -0.551 2.3569999999999998 2.628
pert_7 39.427 8.27 1.74 0.7140000000000001 0.075 5.223 -2.131 -0.755 -1.31
pert_8 39.427 14.129000000000001 36.184 -0.278 -5.379 3.6910000000000003 -3.451 2.248 1.9669999999999999
pert_11 -16.897000000000002 4.187 36.184 -0.846 -5.21 -2.225 0.426 3.807 4.187
pert_14 3.241 7.742000000000001 36.184 -1.383 -5.473 -0.33399999999999996 -1.197 4.1610000000000005 4.209
pert_15 39.427 5.337000000000001 -15.507 -0.002 2.475 5.622000000000001 -1.857 -0.767 -1.6159999999999999
pert_16 39.427 8.605 3.707 -0.8740000000000001 -0.655 4.671 -2.696 1.3019999999999998 0.564
pert_17 39.427 14.129000000000001 36.184 -2.349 -5.945 3.062 -4.113 4.798 4.248
pert_20 -16.897000000000002 4.187 36.184 -2.708 -5.718999999999999 -2.79 -0.16899999999999998 6.1 6.2379999999999995
pert_22 1.249 1.4340000000000002 1.165 -1.883 -0.32799999999999996 0.563 -0.193 2.995 2.595
pert_23 5.666 8.17 36.184 -2.9360000000000004 -5.9110000000000005 -0.5589999999999999 -1.868 6.0360000000000005 5.851
pert_24 39.427 5.337000000000001 -15.507 -1.7890000000000001 1.9869999999999999 5.08 -2.4290000000000003 1.433 0.353
pert_25 39.427 8.926 5.5920000000000005 -2.396 -1.354 4.141 -3.237 3.273 2.36
pert_26 39.427 14.129000000000001 36.184 -3.2769999999999997 -6.199 2.78 -4.409 5.941 5.271
