 0 1 2 3
attr_01 0 0 0 1
attr_02 0 -1 -1 0
attr_03 0 1 1 -1
attr_04 1 1 0 1
attr_05 1 0 1 0
attr_06 1 0 1 1
attr_07 0 1 -1 1
attr_08 0 0 1 1
attr_09 0 0 -1 0
attr_10 -1 0 -1 -1
attr_11 -1 1 1 1
attr_12 -1 1 1 0
attr_13 -1 0 1 -1
attr_14 0 -1 0 -1
attr_15 1 1 -1 -1
attr_16 -1 -1 -1 1
attr_17 0 0 0 0
attr_18 -1 0 0 0
attr_19 1 1 1 0
attr_20 -1 1 -1 1
attr_21 -1 0 0 -1
attr_22 -1 0 0 1
attr_23 1 1 -1 1
attr_24 1 1 0 -1
attr_25 -1 1 -1 0
attr_26 0 -1 1 1
attr_27 -1 -1 0 1
attr_28 0 -1 -1 -1
attr_29 1 -1 0 0
attr_30 1 0 0 1
attr_31 1 -1 1 -1
attr_32 -1 0 1 1
attr_33 0 -1 0 0
attr_34 0 -1 0 1
attr_35 1 -1 1 0
attr_36 0 0 1 0
attr_37 -1 1 0 -1
attr_38 -1 -1 0 0
attr_39 1 0 -1 1
attr_40 -1 -1 -1 -1
attr_41 1 0 0 0
attr_42 -1 1 -1 -1
attr_43 1 -1 -1 -1
attr_44 -1 1 0 1
attr_45 -1 0 -1 0
attr_46 1 1 -1 0
attr_47 0 0 -1 1
attr_48 0 1 0 -1
attr_49 0 -1 1 -1
attr_50 -1 0 -1 1
attr_51 -1 1 0 0
attr_52 1 1 1 -1
attr_53 0 1 -1 0
attr_54 0 -1 -1 1
attr_55 0 1 0 0
attr_56 0 0 1 -1
attr_57 1 0 -1 0
attr_58 -1 0 1 0
attr_59 -1 -1 0 -1
attr_60 1 -1 0 -1
attr_61 -1 -1 1 1
attr_62 0 1 1 1
attr_63 0 1 0 1
attr_64 1 -1 -1 1
attr_65 -1 -1 1 -1
attr_66 1 0 1 -1
attr_67 1 1 1 1
attr_68 -1 -1 1 0
attr_69 1 -1 1 1
attr_70 0 0 0 -1
attr_71 1 -1 -1 0
attr_72 1 1 0 0
attr_73 0 -1 1 0
attr_74 1 0 0 -1
attr_75 -1 1 1 -1
attr_76 0 1 1 0
attr_77 1 -1 0 1
attr_78 -1 -1 -1 0
attr_79 0 1 -1 -1
attr_80 0 0 -1 -1
attr_81 1 0 -1 -1
