,wt1,wt2,wt3,unp1,unp2,unp3
0_B,0.535312,0.409543,0.497159,0.179038,0.037333,-0.18827
1_B,0.447586,0.256739,0.332733,0.544287,0.012252500000000001,0.672616
2_B,0.200059,0.8855370000000001,1.1739700000000002,0.226298,0.147072,-0.205688
3_B,1.14141,0.602963,0.67769,-1.057,0.062949,-0.162983
0_CI,0.0,0.0,0.0,-0.21331999999999998,0.150848,-0.076309
1_CI,0.0,0.0,0.0,0.05,0.05,0.05
2_CI,0.0,0.0,0.0,0.15,0.15,0.15
3_CI,0.0,0.0,0.0,-0.0386247,-0.143895,0.238688
0_CN,0.0,0.0,0.0,0.15,0.15,0.15
1_CN,0.0,0.0,0.0,0.05,0.05,0.05
2_CN,0.0,0.0,0.0,0.15,0.15,0.15
3_CN,0.0,0.0,0.0,0.05,0.05,0.05
0_EN,0.0,0.0,0.0,0.14011600000000002,0.0674202,0.36230999999999997
1_EN,0.0,0.0,0.0,-0.198348,0.107644,0.679182
2_EN,1.27566,1.0471700000000002,0.605137,0.018354099999999998,0.5460699999999999,0.825541
3_EN,0.0,0.0,0.0,0.567901,-0.290029,-0.00976388
0_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_1,0.0,0.0,0.0,-0.0504363,0.23243200000000003,-0.037432099999999996
0_EWG_2,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_3,0.0,0.0,0.0,-0.5607340000000001,-0.152446,-0.462222
0_EWG_4,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_5,0.0,0.0,0.0,0.64449,0.06970230000000001,0.0474009
1_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_1,0.0,0.0,0.0,0.30685300000000004,-0.43890100000000004,0.12598399999999998
1_EWG_2,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_3,0.0,0.0,0.0,0.32261799999999996,0.295957,0.818475
1_EWG_4,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_5,0.0,0.0,0.0,0.340007,-0.338455,0.444421
2_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
2_EWG_1,0.0,0.0,0.0,0.342074,-0.399054,-0.43929700000000005
2_EWG_2,0.0,0.0,0.0,-0.325653,0.599797,0.051964199999999995
2_EWG_3,0.0,0.0,0.0,-0.47958599999999996,0.91696,0.279646
2_EWG_4,0.0,0.0,0.0,0.8553200000000001,0.441213,0.422022
2_EWG_5,0.0,0.0,0.0,0.204153,0.840965,0.213319
3_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
3_EWG_1,0.0,0.0,0.0,-0.25762399999999996,0.77859,-0.06397749999999999
3_EWG_2,0.0,0.0,0.0,0.15,0.15,0.15
3_EWG_3,0.0,0.0,0.0,-0.139148,0.706673,0.182522
3_EWG_4,0.0,0.0,0.0,0.15,0.15,0.15
3_EWG_5,0.0,0.0,0.0,-0.07697319999999999,-0.07822899999999999,-0.20905500000000002
0_HH_0,0.0,0.0,0.0,0.15,0.15,0.15
0_HH_1,0.0,0.0,0.0,0.762505,0.19825,0.9395379999999999
0_HH_2,0.0,0.0,0.0,0.15,0.15,0.15
0_HH_3,0.0,0.0,0.0,-0.44906899999999994,-0.461657,0.148401
0_HH_4,0.0,0.0,0.0,0.15,0.15,0.15
0_HH_5,0.0,0.0,0.0,0.11493900000000001,0.5272399999999999,-0.757386
1_HH_0,0.0,0.0,0.0,0.15,0.15,0.15
1_HH_1,0.0,0.0,0.0,-0.4444,0.5004,0.108964
1_HH_2,0.0,0.0,0.0,0.15,0.15,0.15
1_HH_3,0.0,0.0,0.0,0.013535,0.26777399999999996,-0.203688
1_HH_4,0.0,0.0,0.0,0.15,0.15,0.15
1_HH_5,0.0,0.0,0.0,0.126075,0.445495,0.802933
2_HH_0,0.0,0.0,0.0,0.15,0.15,0.15
