,wt1,wt2,wt3,unp1,unp2,unp3
0_B,0.849908,0.497159,0.692932,0.11416300000000001,-0.18827,0.226023
1_B,0.9090159999999999,0.332733,0.606691,0.065011,0.672616,-0.16834000000000002
2_B,1.28349,1.1739700000000002,0.819152,0.785515,-0.205688,0.269173
3_B,-0.0789933,0.67769,0.531339,0.446141,-0.162983,0.37295100000000003
0_CI,0.0,0.0,0.0,0.5011329999999999,-0.076309,-0.162774
1_CI,0.0,0.0,0.0,0.05,0.05,0.05
2_CI,0.0,0.0,0.0,0.15,0.15,0.15
3_CI,0.0,0.0,0.0,-0.660824,0.238688,0.722688
0_CN,0.0,0.0,0.0,0.15,0.15,0.15
1_CN,0.0,0.0,0.0,0.05,0.05,0.05
2_CN,0.0,0.0,0.0,0.15,0.15,0.15
3_CN,0.0,0.0,0.0,0.05,0.05,0.05
0_EN,0.0,0.0,0.0,-0.17724,0.36230999999999997,-0.38454499999999997
1_EN,0.0,0.0,0.0,0.558805,0.679182,-0.146634
2_EN,1.28462,0.605137,1.36958,0.866187,0.825541,0.012791799999999999
3_EN,0.0,0.0,0.0,-0.250996,-0.00976388,-1.08251
0_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_1,0.0,0.0,0.0,-0.322525,-0.037432099999999996,-0.220577
0_EWG_2,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_3,0.0,0.0,0.0,0.0414545,-0.462222,0.170622
0_EWG_4,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_5,0.0,0.0,0.0,-0.425833,0.0474009,1.12362
1_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_1,0.0,0.0,0.0,0.59965,0.12598399999999998,0.097006
1_EWG_2,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_3,0.0,0.0,0.0,0.9139219999999999,0.818475,0.809948
1_EWG_4,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_5,0.0,0.0,0.0,0.36287800000000003,0.444421,-0.162553
2_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
2_EWG_1,0.0,0.0,0.0,-0.320784,-0.43929700000000005,-0.0881477
2_EWG_2,0.0,0.0,0.0,0.316843,0.051964199999999995,-0.43522799999999995
2_EWG_3,0.0,0.0,0.0,-0.48381899999999994,0.279646,0.27370500000000003
2_EWG_4,0.0,0.0,0.0,0.441032,0.422022,-0.41971800000000004
2_EWG_5,0.0,0.0,0.0,0.327608,0.213319,0.159624
3_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
3_EWG_1,0.0,0.0,0.0,-0.317765,-0.06397749999999999,0.018906799999999998
3_EWG_2,0.0,0.0,0.0,0.15,0.15,0.15
3_EWG_3,0.0,0.0,0.0,0.36291999999999996,0.182522,0.822615
3_EWG_4,0.0,0.0,0.0,0.15,0.15,0.15
3_EWG_5,0.0,0.0,0.0,-0.0760419,-0.20905500000000002,-0.0689005
0_HH_0,0.0,0.0,0.0,0.15,0.15,0.15
0_HH_1,0.0,0.0,0.0,-0.139167,0.9395379999999999,0.571021
0_HH_2,0.0,0.0,0.0,0.15,0.15,0.15
0_HH_3,0.0,0.0,0.0,0.158328,0.148401,1.2029100000000001
0_HH_4,0.0,0.0,0.0,0.15,0.15,0.15
0_HH_5,0.0,0.0,0.0,0.324027,-0.757386,0.515777
1_HH_0,0.0,0.0,0.0,0.15,0.15,0.15
1_HH_1,0.0,0.0,0.0,-0.346898,0.108964,-0.916899
1_HH_2,0.0,0.0,0.0,0.15,0.15,0.15
1_HH_3,0.0,0.0,0.0,1.2207299999999999,-0.203688,0.392703
1_HH_4,0.0,0.0,0.0,0.15,0.15,0.15
1_HH_5,0.0,0.0,0.0,-0.339721,0.802933,-0.21744000000000002
2_HH_0,0.0,0.0,0.0,0.15,0.15,0.15
2_HH_1,0.0,0.0,0.0,0.00035773,0.137777,-0.155558
2_HH_2,0.0,0.0,0.0,0.15,0.15,0.15
2_HH_3,0.0,0.0,0.0,-0.689893,-0.130928,0.0775168
2_HH_4,0.0,0.0,0.0,0.15,0.15,0.15
2_HH_5,0.0,0.0,0.0,-0.42968199999999995,0.246067,-0.60783
3_HH_0,0.0,0.0,0.0,0.15,0.15,0.15
3_HH_1,0.0,0.0,0.0,0.392277,0.473629,-0.0769319
3_HH_2,0.0,0.0,0.0,0.15,0.15,0.15
3_HH_3,0.0,0.0,0.0,0.295129,-0.451905,0.259446
3_HH_4,0.0,0.0,0.0,0.15,0.15,0.15
3_HH_5,0.0,0.0,0.0,-0.19786199999999998,0.0775602,-0.205846
0_IWG,0.0,0.0,0.0,0.965518,-0.45502299999999996,-0.323971
1_IWG,1.16972,1.09314,1.20468,0.05,0.05,0.05
2_IWG,0.0,0.0,0.0,0.15,0.15,0.15
3_IWG,0.0,0.0,0.0,0.05,0.05,0.05
0_PH_0,0.0,0.0,0.0,0.649563,0.11523,0.0385759
0_PH_1,0.0,0.0,0.0,0.0320917,0.0134506,-0.675044
0_PH_2,0.0,0.0,0.0,-0.632251,0.43661000000000005,-0.18221600000000002
0_PH_3,0.0,0.0,0.0,-0.15911199999999998,-0.179828,0.0474429
0_PH_4,0.0,0.0,0.0,0.12129000000000001,-0.6258020000000001,-0.287887
0_PH_5,0.0,0.0,0.0,-0.236785,0.0596101,-0.07118189999999999
1_PH_0,0.0,0.0,0.0,0.403636,0.627999,0.251189
1_PH_1,0.0,0.0,0.0,0.183488,0.34094,0.228985
1_PH_2,0.0,0.0,0.0,-0.29441,0.180501,0.548207
1_PH_3,0.0,0.0,0.0,0.555424,-0.885122,0.5794699999999999
1_PH_4,0.0,0.0,0.0,-0.582538,-0.421588,-0.583728
1_PH_5,0.0,0.0,0.0,-0.12228800000000001,0.128991,0.296955
2_PH_0,0.0,0.0,0.0,0.744188,-0.590755,-0.5297029999999999
2_PH_1,0.0,0.0,0.0,-0.298572,-0.285163,0.35329
2_PH_2,0.0,0.0,0.0,0.395464,0.354008,-0.700397
2_PH_3,0.0,0.0,0.0,0.732258,0.21943600000000002,0.109628
2_PH_4,0.0,0.0,0.0,0.00102641,-1.17669,0.662644
