,wt1,wt2,wt3,unp1,unp2,unp3
0_B,0.535312,0.706842,-0.362157,0.179038,-0.113353,0.379919
1_B,0.447586,0.203982,0.337982,0.544287,-0.14013299999999998,-0.584544
2_B,0.200059,0.304573,0.0174784,0.226298,0.13448,0.068682
3_B,1.14141,0.793636,0.822283,-1.057,0.415346,-0.589693
0_CI,0.0,0.0,0.0,-0.21331999999999998,0.144123,0.13461099999999998
1_CI,0.0,0.0,0.0,0.05,0.05,0.05
2_CI,0.0,0.0,0.0,0.15,0.15,0.15
3_CI,0.0,0.0,0.0,-0.0386247,0.291522,-0.172371
0_CN,0.0,0.0,0.0,0.15,0.15,0.15
1_CN,0.0,0.0,0.0,0.05,0.05,0.05
2_CN,0.0,0.0,0.0,0.15,0.15,0.15
3_CN,0.0,0.0,0.0,0.05,0.05,0.05
0_EN,0.0,0.0,0.0,0.14011600000000002,0.6180720000000001,0.48377600000000004
1_EN,0.0,0.0,0.0,-0.198348,0.640312,0.309864
2_EN,1.27566,0.9910129999999999,1.7264599999999999,0.018354099999999998,0.381916,0.1485
3_EN,0.0,0.0,0.0,0.567901,0.213175,-0.9347780000000001
0_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_1,0.0,0.0,0.0,-0.0504363,-0.13681300000000002,-0.374651
0_EWG_2,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_3,0.0,0.0,0.0,-0.5607340000000001,0.585428,-0.611834
0_EWG_4,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_5,0.0,0.0,0.0,0.64449,-0.31547800000000004,0.205023
1_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_1,0.0,0.0,0.0,0.30685300000000004,-0.281469,0.367773
1_EWG_2,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_3,0.0,0.0,0.0,0.32261799999999996,-0.30956100000000003,-0.037193199999999996
1_EWG_4,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_5,0.0,0.0,0.0,0.340007,0.0596717,0.09724989999999999
2_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
2_EWG_1,0.0,0.0,0.0,0.342074,0.544308,-0.11803
2_EWG_2,0.0,0.0,0.0,-0.325653,-0.00901121,0.635362
2_EWG_3,0.0,0.0,0.0,-0.47958599999999996,-0.495713,0.370615
2_EWG_4,0.0,0.0,0.0,0.8553200000000001,0.08655650000000001,-0.385089
2_EWG_5,0.0,0.0,0.0,0.204153,-0.334565,-0.083785
3_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
3_EWG_1,0.0,0.0,0.0,-0.25762399999999996,0.463215,0.22381900000000002
3_EWG_2,0.0,0.0,0.0,0.15,0.15,0.15
3_EWG_3,0.0,0.0,0.0,-0.139148,-0.0152452,-0.46453599999999995
3_EWG_4,0.0,0.0,0.0,0.15,0.15,0.15
3_EWG_5,0.0,0.0,0.0,-0.07697319999999999,0.415822,-0.285733
0_HH_0,0.0,0.0,0.0,0.15,0.15,0.15
0_HH_1,0.0,0.0,0.0,0.762505,-0.308967,0.028392700000000003
0_HH_2,0.0,0.0,0.0,0.15,0.15,0.15
0_HH_3,0.0,0.0,0.0,-0.44906899999999994,-0.32376900000000003,-1.10771
0_HH_4,0.0,0.0,0.0,0.15,0.15,0.15
0_HH_5,0.0,0.0,0.0,0.11493900000000001,-0.0798362,-0.194773
1_HH_0,0.0,0.0,0.0,0.15,0.15,0.15
1_HH_1,0.0,0.0,0.0,-0.4444,-0.0727449,0.233064
1_HH_2,0.0,0.0,0.0,0.15,0.15,0.15
1_HH_3,0.0,0.0,0.0,0.013535,-0.055056100000000004,-0.966073
1_HH_4,0.0,0.0,0.0,0.15,0.15,0.15
1_HH_5,0.0,0.0,0.0,0.126075,0.0753438,0.209258
2_HH_0,0.0,0.0,0.0,0.15,0.15,0.15
2_HH_1,0.0,0.0,0.0,0.591689,0.670439,-0.00181825
2_HH_2,0.0,0.0,0.0,0.15,0.15,0.15
2_HH_3,0.0,0.0,0.0,-0.39282399999999995,-0.146342,-0.142345
2_HH_4,0.0,0.0,0.0,0.15,0.15,0.15
2_HH_5,0.0,0.0,0.0,0.7886880000000001,-0.563627,0.10526400000000001
3_HH_0,0.0,0.0,0.0,0.15,0.15,0.15
3_HH_1,0.0,0.0,0.0,0.14852200000000002,0.0401509,-0.294185
3_HH_2,0.0,0.0,0.0,0.15,0.15,0.15
3_HH_3,0.0,0.0,0.0,0.127142,-0.246586,0.42993100000000006
3_HH_4,0.0,0.0,0.0,0.15,0.15,0.15
3_HH_5,0.0,0.0,0.0,0.644374,-0.610472,0.628841
0_IWG,0.0,0.0,0.0,-0.533036,0.754005,0.737013
1_IWG,1.1246200000000002,0.7834949999999999,1.14142,0.05,0.05,0.05
2_IWG,0.0,0.0,0.0,0.15,0.15,0.15
3_IWG,0.0,0.0,0.0,0.05,0.05,0.05
0_PH_0,0.0,0.0,0.0,-0.104724,-0.47345600000000004,0.0466175
0_PH_1,0.0,0.0,0.0,0.00333754,-0.41248900000000005,0.607599
0_PH_2,0.0,0.0,0.0,-0.11893599999999999,-0.339946,-0.47207
0_PH_3,0.0,0.0,0.0,-0.03797380000000001,-0.07227180000000001,-0.0200087
0_PH_4,0.0,0.0,0.0,-0.45888,0.386261,-0.15003699999999998
0_PH_5,0.0,0.0,0.0,0.294559,0.334363,0.0117565
1_PH_0,0.0,0.0,0.0,0.0351941,0.374066,0.30207
1_PH_1,0.0,0.0,0.0,-0.0904352,-0.528429,0.705825
1_PH_2,0.0,0.0,0.0,-0.25759899999999997,0.627568,0.08319700000000001
1_PH_3,0.0,0.0,0.0,0.027324599999999998,0.266418,0.125997
1_PH_4,0.0,0.0,0.0,-0.236515,-0.291034,0.13568
1_PH_5,0.0,0.0,0.0,0.18177100000000002,-0.2063,-0.24004
2_PH_0,0.0,0.0,0.0,-0.106003,0.26375,-0.0333299
2_PH_1,0.0,0.0,0.0,0.679222,0.601052,0.393912
2_PH_2,0.0,0.0,0.0,0.269518,-0.200102,-0.314157
2_PH_3,0.0,0.0,0.0,-0.15120699999999998,-0.38096199999999997,0.343213
2_PH_4,0.0,0.0,0.0,0.5589,-0.227215,-0.558569
2_PH_5,0.0,0.0,0.0,0.234186,-0.00551263,0.737434
3_PH_0,0.0,0.0,0.0,-0.057303099999999996,1.23791,-0.186392
3_PH_1,0.0,0.0,0.0,0.42555,-0.132734,0.393461
