,wt1,wt2,wt3,unp1,unp2,unp3
0_B,-0.270099,1.46286,0.509336,0.25211100000000003,-0.213131,0.348407
1_B,1.37758,0.313035,0.217817,0.484704,0.594912,0.192656
2_B,0.730384,0.562149,0.547456,0.139529,-0.5190319999999999,0.575021
3_B,0.0999071,0.0922946,0.629373,0.37054000000000004,-0.370251,-0.361001
0_CI,0.0,0.0,0.0,0.05809169999999999,0.0773651,0.185773
1_CI,0.0,0.0,0.0,0.05,0.05,0.05
2_CI,0.0,0.0,0.0,0.15,0.15,0.15
3_CI,0.0,0.0,0.0,-0.682643,0.364175,-0.12383800000000002
0_CN,0.0,0.0,0.0,0.15,0.15,0.15
1_CN,0.0,0.0,0.0,0.05,0.05,0.05
2_CN,0.0,0.0,0.0,0.15,0.15,0.15
3_CN,0.0,0.0,0.0,0.05,0.05,0.05
0_EN,0.0,0.0,0.0,0.203458,-0.0353283,-0.404834
1_EN,0.0,0.0,0.0,0.528926,-0.179397,-0.447938
2_EN,0.9534370000000001,1.1535600000000001,0.253249,0.32249099999999997,0.251765,-0.206155
3_EN,0.0,0.0,0.0,-0.343929,0.00650762,0.210286
0_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_1,0.0,0.0,0.0,0.224198,-0.23793699999999998,-0.09278760000000001
0_EWG_2,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_3,0.0,0.0,0.0,-0.41553999999999996,0.37685,0.033481300000000006
0_EWG_4,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_5,0.0,0.0,0.0,-0.10451300000000001,0.401395,0.169638
1_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_1,0.0,0.0,0.0,0.585082,0.0732244,-0.28713
1_EWG_2,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_3,0.0,0.0,0.0,-0.382218,0.476154,-0.637988
1_EWG_4,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_5,0.0,0.0,0.0,0.00807463,0.385918,0.79601
