,wt1,wt2,wt3,unp1,unp2,unp3
0_B,0.505202,0.705167,0.5981850000000001,-0.215054,0.7268859999999999,0.153843
1_B,-0.7711899999999999,0.802134,0.191124,0.669037,0.0162818,-0.189155
2_B,0.824628,0.336068,0.266152,0.107953,0.274044,-0.45203999999999994
3_B,0.6541600000000001,0.306556,0.242378,-0.311168,0.171379,0.689481
0_CI,0.0,0.0,0.0,0.21389299999999997,1.09175,0.6924140000000001
1_CI,0.0,0.0,0.0,0.05,0.05,0.05
2_CI,0.0,0.0,0.0,0.15,0.15,0.15
3_CI,0.0,0.0,0.0,-0.7038939999999999,0.468859,-0.07550319999999999
0_CN,0.0,0.0,0.0,0.15,0.15,0.15
1_CN,0.0,0.0,0.0,0.05,0.05,0.05
2_CN,0.0,0.0,0.0,0.15,0.15,0.15
3_CN,0.0,0.0,0.0,0.05,0.05,0.05
0_EN,0.0,0.0,0.0,-0.26692899999999997,0.6342180000000001,0.0587653
1_EN,0.0,0.0,0.0,0.11215499999999999,-0.298333,-0.39104
2_EN,1.12904,1.09426,0.262376,0.919006,0.561619,0.478152
3_EN,0.0,0.0,0.0,0.0177572,0.966707,-0.393513
0_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_1,0.0,0.0,0.0,-0.426834,0.058587400000000005,0.056582799999999996
0_EWG_2,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_3,0.0,0.0,0.0,0.196829,0.711168,0.015123099999999999
0_EWG_4,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_5,0.0,0.0,0.0,0.138073,0.06246,-0.07756569999999999
1_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_1,0.0,0.0,0.0,-0.571705,-0.155621,0.45558999999999994
1_EWG_2,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_3,0.0,0.0,0.0,0.29998800000000003,0.400104,0.174347
1_EWG_4,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_5,0.0,0.0,0.0,-0.776837,-0.239506,0.676769
2_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
2_EWG_1,0.0,0.0,0.0,0.282379,-0.37893899999999997,0.328993
2_EWG_2,0.0,0.0,0.0,-0.262545,-0.815948,0.362093
2_EWG_3,0.0,0.0,0.0,-0.0120956,-0.0729788,0.158817
2_EWG_4,0.0,0.0,0.0,0.215504,0.555321,0.24505500000000002
