,wt1,wt2,wt3,unp1,unp2,unp3
0_B,1.06104,0.849908,0.381202,0.512155,0.11416300000000001,0.303559
1_B,0.631996,0.9090159999999999,0.44673999999999997,-0.773708,0.065011,0.543722
2_B,0.634264,1.28349,0.94176,0.74516,0.785515,-0.44786899999999996
3_B,0.811728,-0.0789933,0.05498240000000001,-0.315013,0.446141,0.300525
0_CI,0.0,0.0,0.0,0.42226499999999995,0.5011329999999999,1.25868
1_CI,0.0,0.0,0.0,0.05,0.05,0.05
2_CI,0.0,0.0,0.0,0.15,0.15,0.15
3_CI,0.0,0.0,0.0,-0.947765,-0.660824,0.609268
0_CN,0.0,0.0,0.0,0.15,0.15,0.15
1_CN,0.0,0.0,0.0,0.05,0.05,0.05
2_CN,0.0,0.0,0.0,0.15,0.15,0.15
3_CN,0.0,0.0,0.0,0.05,0.05,0.05
0_EN,0.0,0.0,0.0,0.139268,-0.17724,0.200192
1_EN,0.0,0.0,0.0,0.300919,0.558805,0.42961400000000005
2_EN,1.21858,1.28462,0.634482,0.285437,0.866187,0.419795
3_EN,0.0,0.0,0.0,0.368394,-0.250996,0.48109399999999997
0_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_1,0.0,0.0,0.0,0.49583299999999997,-0.322525,-0.2125
0_EWG_2,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_3,0.0,0.0,0.0,-0.35381,0.0414545,0.275713
0_EWG_4,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_5,0.0,0.0,0.0,0.524077,-0.425833,-0.162445
1_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_1,0.0,0.0,0.0,-0.0113788,0.59965,-0.44139799999999996
1_EWG_2,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_3,0.0,0.0,0.0,-0.122523,0.9139219999999999,0.42200200000000004
1_EWG_4,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_5,0.0,0.0,0.0,0.31096599999999996,0.36287800000000003,1.21022
2_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
2_EWG_1,0.0,0.0,0.0,-0.515548,-0.320784,-0.061059
2_EWG_2,0.0,0.0,0.0,-0.693274,0.316843,-0.310136
2_EWG_3,0.0,0.0,0.0,0.422249,-0.48381899999999994,-0.48634099999999997
2_EWG_4,0.0,0.0,0.0,0.0878227,0.441032,0.67237
2_EWG_5,0.0,0.0,0.0,0.03955669999999999,0.327608,-0.18274
3_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
3_EWG_1,0.0,0.0,0.0,-0.128816,-0.317765,0.332054
3_EWG_2,0.0,0.0,0.0,0.15,0.15,0.15
3_EWG_3,0.0,0.0,0.0,-0.509103,0.36291999999999996,-0.059179499999999996
3_EWG_4,0.0,0.0,0.0,0.15,0.15,0.15
