,wt1,wt2,wt3,unp1,unp2,unp3
0_B,1.06104,0.13051600000000002,0.07583089999999999,0.512155,0.248086,-0.274945
1_B,0.631996,0.0458047,0.9586969999999999,-0.773708,0.734101,0.195203
2_B,0.634264,0.96819,0.40928200000000003,0.74516,0.5263720000000001,0.286327
3_B,0.811728,0.951758,0.147782,-0.315013,0.07782910000000001,0.308831
0_CI,0.0,0.0,0.0,0.42226499999999995,0.0818757,-0.0205087
1_CI,0.0,0.0,0.0,0.05,0.05,0.05
2_CI,0.0,0.0,0.0,0.15,0.15,0.15
3_CI,0.0,0.0,0.0,-0.947765,-0.710314,0.754293
0_CN,0.0,0.0,0.0,0.15,0.15,0.15
1_CN,0.0,0.0,0.0,0.05,0.05,0.05
2_CN,0.0,0.0,0.0,0.15,0.15,0.15
3_CN,0.0,0.0,0.0,0.05,0.05,0.05
0_EN,0.0,0.0,0.0,0.139268,-0.529319,0.5052270000000001
1_EN,0.0,0.0,0.0,0.300919,-0.545187,0.146176
2_EN,1.21858,0.799207,1.23633,0.285437,0.46103599999999995,0.014306200000000002
3_EN,0.0,0.0,0.0,0.368394,-0.162383,0.644623
0_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_1,0.0,0.0,0.0,0.49583299999999997,-0.273248,0.23069
0_EWG_2,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_3,0.0,0.0,0.0,-0.35381,0.260346,0.5584
0_EWG_4,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_5,0.0,0.0,0.0,0.524077,-0.188384,0.397597
1_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_1,0.0,0.0,0.0,-0.0113788,0.35534899999999997,0.259027
1_EWG_2,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_3,0.0,0.0,0.0,-0.122523,-0.328986,0.0292017
1_EWG_4,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_5,0.0,0.0,0.0,0.31096599999999996,-0.41042399999999996,-0.462203
2_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
2_EWG_1,0.0,0.0,0.0,-0.515548,0.282893,0.419309
2_EWG_2,0.0,0.0,0.0,-0.693274,0.296174,-0.5736439999999999
2_EWG_3,0.0,0.0,0.0,0.422249,0.18148399999999998,-0.41392700000000004
2_EWG_4,0.0,0.0,0.0,0.0878227,0.073608,0.44958000000000004
2_EWG_5,0.0,0.0,0.0,0.03955669999999999,0.26410100000000003,0.11240399999999999
3_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
3_EWG_1,0.0,0.0,0.0,-0.128816,-0.43858500000000006,-0.0231995
3_EWG_2,0.0,0.0,0.0,0.15,0.15,0.15
