,wt1,wt2,wt3,unp1,unp2,unp3
0_B,0.35689099999999996,0.505202,0.30247399999999997,-0.164672,-0.215054,0.03257
1_B,0.145681,-0.7711899999999999,-0.0922074,0.0821023,0.669037,-0.5353359999999999
2_B,0.546623,0.824628,0.603853,0.27968699999999996,0.107953,0.0172927
3_B,0.527011,0.6541600000000001,0.234163,0.61197,-0.311168,-0.00608417
0_CI,0.0,0.0,0.0,0.24323499999999998,0.21389299999999997,-0.409868
1_CI,0.0,0.0,0.0,0.05,0.05,0.05
2_CI,0.0,0.0,0.0,0.15,0.15,0.15
3_CI,0.0,0.0,0.0,-0.191385,-0.7038939999999999,0.283381
0_CN,0.0,0.0,0.0,0.15,0.15,0.15
1_CN,0.0,0.0,0.0,0.05,0.05,0.05
2_CN,0.0,0.0,0.0,0.15,0.15,0.15
3_CN,0.0,0.0,0.0,0.05,0.05,0.05
0_EN,0.0,0.0,0.0,0.5784279999999999,-0.26692899999999997,0.805103
1_EN,0.0,0.0,0.0,-0.274899,0.11215499999999999,-0.17449
2_EN,1.17035,1.12904,1.00681,-0.512105,0.919006,-0.5546369999999999
3_EN,0.0,0.0,0.0,0.40110500000000004,0.0177572,0.055375400000000005
0_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_1,0.0,0.0,0.0,0.0272774,-0.426834,0.391339
0_EWG_2,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_3,0.0,0.0,0.0,0.372156,0.196829,-0.8129850000000001
0_EWG_4,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_5,0.0,0.0,0.0,-0.271117,0.138073,-0.10544200000000001
1_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_1,0.0,0.0,0.0,0.611274,-0.571705,-0.763059
1_EWG_2,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_3,0.0,0.0,0.0,-0.00289632,0.29998800000000003,0.143735
1_EWG_4,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_5,0.0,0.0,0.0,-0.346096,-0.776837,-0.0343307
2_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
2_EWG_1,0.0,0.0,0.0,1.13455,0.282379,0.15859600000000001
2_EWG_2,0.0,0.0,0.0,-0.127237,-0.262545,-0.015929699999999998
2_EWG_3,0.0,0.0,0.0,-0.0433344,-0.0120956,0.46026999999999996
2_EWG_4,0.0,0.0,0.0,0.22771599999999997,0.215504,0.652561
2_EWG_5,0.0,0.0,0.0,0.45698199999999994,-0.0915186,-0.0433453
3_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
3_EWG_1,0.0,0.0,0.0,0.248558,-0.894115,0.0213576
3_EWG_2,0.0,0.0,0.0,0.15,0.15,0.15
3_EWG_3,0.0,0.0,0.0,0.465308,0.31099499999999997,0.535213
