name A B C D E F
0 0.103 0.473 0.425 -0.009 0.184 -0.004
1 0.200 0.525 0.473 -0.012 0.178 -0.006
2 0.185 0.480 0.432 -0.011 0.177 -0.006
3 0.200 0.504 0.453 -0.024 0.176 -0.012
4 0.176 0.470 0.423 -0.008 0.181 -0.004
5 0.158 0.464 0.417 -0.009 0.178 -0.005
6 0.184 0.474 0.426 -0.006 0.177 -0.003
7 0.200 0.545 0.491 -0.044 0.169 -0.023
8 0.200 0.480 0.432 -0.027 0.178 -0.014
9 0.184 0.527 0.474 0.004 0.186 0.002
10 0.171 0.466 0.420 -0.011 0.187 -0.006
11 0.142 0.523 0.471 0.002 0.192 0.001
12 0.134 0.462 0.416 -0.071 0.150 -0.037
13 0.120 0.451 0.406 -0.010 0.168 -0.005
14 0.113 0.452 0.406 -0.022 0.158 -0.011
15 0.169 0.522 0.470 0.004 0.182 0.002
16 0.200 0.512 0.461 -0.030 0.181 -0.016
17 0.165 0.466 0.419 -0.029 0.178 -0.015
18 0.183 0.484 0.435 -0.056 0.140 -0.029
19 0.200 0.482 0.434 -0.002 0.169 -0.001
20 0.158 0.472 0.425 -0.038 0.148 -0.020
21 0.174 0.529 0.476 -0.028 0.151 -0.015
22 0.200 0.494 0.445 -0.005 0.191 -0.003
23 0.173 0.511 0.460 -0.013 0.183 -0.007
24 0.200 0.483 0.435 -0.045 0.166 -0.023
25 0.176 0.472 0.425 -0.035 0.172 -0.018
26 0.158 0.480 0.432 -0.008 0.188 -0.004
27 0.200 0.501 0.451 -0.047 0.153 -0.024
28 0.160 0.466 0.419 -0.030 0.176 -0.015
29 0.185 0.474 0.426 -0.007 0.178 -0.004
30 0.113 0.514 0.462 -0.026 0.155 -0.014
31 0.158 0.508 0.457 -0.014 0.176 -0.007
32 0.159 0.511 0.460 -0.022 0.169 -0.012
33 0.139 0.464 0.418 -0.012 0.182 -0.006
34 0.198 0.503 0.453 -0.062 0.141 -0.032
35 0.134 0.503 0.453 0.001 0.178 0.000
36 0.130 0.528 0.475 -0.050 0.162 -0.026
37 0.199 0.490 0.441 -0.066 0.149 -0.034
38 0.200 0.507 0.456 -0.000 0.185 -0.000
39 0.200 0.492 0.443 -0.012 0.174 -0.006
40 0.193 0.524 0.472 -0.016 0.180 -0.008
41 0.695 0.144 0.130 0.314 0.769 0.163
42 0.619 0.114 0.102 0.274 0.772 0.142
43 0.657 0.126 0.114 0.303 0.767 0.158
44 0.690 0.195 0.176 0.311 0.791 0.162
45 0.615 0.164 0.148 0.337 0.798 0.175
46 0.687 0.150 0.135 0.298 0.774 0.155
47 0.600 0.154 0.138 0.301 0.765 0.156
48 0.665 0.122 0.110 0.275 0.770 0.143
49 0.631 0.115 0.103 0.279 0.749 0.145
50 0.600 0.112 0.101 0.278 0.751 0.144
51 0.600 0.117 0.105 0.316 0.782 0.164
52 0.689 0.200 0.180 0.307 0.788 0.160
53 0.606 0.127 0.114 0.279 0.761 0.145
54 0.609 0.123 0.110 0.300 0.770 0.156
55 0.692 0.176 0.158 0.342 0.780 0.178
56 0.600 0.101 0.090 0.334 0.784 0.173
57 0.656 0.121 0.109 0.277 0.761 0.144
58 0.600 0.141 0.127 0.305 0.771 0.159
59 0.615 0.103 0.093 0.289 0.767 0.150
60 0.600 0.099 0.089 0.271 0.762 0.141
61 0.643 0.127 0.115 0.282 0.751 0.146
62 0.618 0.179 0.161 0.290 0.767 0.151
63 0.696 0.135 0.121 0.321 0.769 0.167
64 0.600 0.106 0.095 0.296 0.761 0.154
65 0.600 0.104 0.094 0.276 0.751 0.143
66 0.628 0.144 0.130 0.296 0.785 0.154
67 0.652 0.120 0.108 0.300 0.761 0.156
68 0.668 0.175 0.158 0.333 0.785 0.173
69 0.690 0.132 0.119 0.282 0.768 0.146
70 0.691 0.200 0.180 0.298 0.757 0.155
71 0.616 0.109 0.098 0.300 0.768 0.156
72 0.600 0.104 0.093 0.277 0.746 0.144
73 0.612 0.117 0.105 0.288 0.750 0.150
74 0.617 0.108 0.097 0.309 0.787 0.160
75 0.600 0.090 0.081 0.328 0.795 0.171
76 0.625 0.111 0.100 0.272 0.771 0.141
77 0.697 0.128 0.116 0.321 0.793 0.167
78 0.600 0.102 0.092 0.285 0.751 0.148
79 0.651 0.124 0.112 0.281 0.751 0.146
80 0.604 0.101 0.091 0.290 0.760 0.150
