name	phenotype	
exocrine1	exocrine_cell
exocrine2	exocrine_cell
exocrine3	exocrine_cell
e1	exocrine_cell
e2	exocrine_cell
e3	exocrine_cell
e4	exocrine_cell
e5	exocrine_cell
e6	exocrine_cell
e7	exocrine_cell
e8	exocrine_cell
e9	exocrine_cell
e10	exocrine_cell
e11	exocrine_cell
e12	exocrine_cell
e13	exocrine_cell
e14	exocrine_cell
e15	exocrine_cell
e16	exocrine_cell
e17	exocrine_cell
e18	exocrine_cell
e19	exocrine_cell
e20	exocrine_cell
e21	exocrine_cell
e22	exocrine_cell
e23	exocrine_cell
e24	exocrine_cell
e25	exocrine_cell
e26	exocrine_cell
e27	exocrine_cell
e28	exocrine_cell
e29	exocrine_cell
e30	exocrine_cell
e31	exocrine_cell
e32	exocrine_cell
e33	exocrine_cell
e34	exocrine_cell
e35	exocrine_cell
e36	exocrine_cell
e37	exocrine_cell
e38	exocrine_cell
e39	exocrine_cell
e40	exocrine_cell
e41	exocrine_cell
e42	exocrine_cell
e43	exocrine_cell
e44	exocrine_cell
e45	exocrine_cell
e46	exocrine_cell
e47	exocrine_cell
e48	exocrine_cell
e49	exocrine_cell
e50	exocrine_cell
e51	exocrine_cell
e52	exocrine_cell
e53	exocrine_cell
e54	exocrine_cell
e55	exocrine_cell
e56	exocrine_cell
e57	exocrine_cell
e58	exocrine_cell
e59	exocrine_cell
e60	exocrine_cell
e61	exocrine_cell
e62	exocrine_cell
e63	exocrine_cell
e64	exocrine_cell
e65	exocrine_cell
e66	exocrine_cell
e67	exocrine_cell
e68	exocrine_cell
e69	exocrine_cell
e70	exocrine_cell
e71	exocrine_cell
e72	exocrine_cell
e73	exocrine_cell
e74	exocrine_cell
e75	exocrine_cell
e76	exocrine_cell
e77	exocrine_cell
e78	exocrine_cell
e79	exocrine_cell
e80	exocrine_cell
e81	exocrine_cell
e82	exocrine_cell
e83	exocrine_cell
e84	exocrine_cell
e85	exocrine_cell
e86	exocrine_cell
e87	exocrine_cell
e88	exocrine_cell
e89	exocrine_cell
e90	exocrine_cell
e91	exocrine_cell
e92	exocrine_cell
e93	exocrine_cell
e94	exocrine_cell
e95	exocrine_cell
e96	exocrine_cell
e97	exocrine_cell
e98	exocrine_cell
e99	exocrine_cell
e100	exocrine_cell
beta1	beta_cell
beta2	beta_cell
beta3	beta_cell
b1	beta_cell
b2	beta_cell
b3	beta_cell
b4	beta_cell
b5	beta_cell
b6	beta_cell
b7	beta_cell
b8	beta_cell
b9	beta_cell
b10	beta_cell
b11	beta_cell
b12	beta_cell
b13	beta_cell
b14	beta_cell
b15	beta_cell
b16	beta_cell
b17	beta_cell
b18	beta_cell
b19	beta_cell
b20	beta_cell
b21	beta_cell
b22	beta_cell
b23	beta_cell
b24	beta_cell
b25	beta_cell
b26	beta_cell
b27	beta_cell
b28	beta_cell
b29	beta_cell
b30	beta_cell
b31	beta_cell
b32	beta_cell
b33	beta_cell
b34	beta_cell
b35	beta_cell
b36	beta_cell
b37	beta_cell
b38	beta_cell
b39	beta_cell
b40	beta_cell
b41	beta_cell
b42	beta_cell
b43	beta_cell
b44	beta_cell
b45	beta_cell
b46	beta_cell
b47	beta_cell
b48	beta_cell
b49	beta_cell
b50	beta_cell
b51	beta_cell
b52	beta_cell
b53	beta_cell
b54	beta_cell
b55	beta_cell
b56	beta_cell
b57	beta_cell
b58	beta_cell
b59	beta_cell
b60	beta_cell
b61	beta_cell
b62	beta_cell
b63	beta_cell
b64	beta_cell
b65	beta_cell
b66	beta_cell
b67	beta_cell
b68	beta_cell
b69	beta_cell
b70	beta_cell
b71	beta_cell
b72	beta_cell
b73	beta_cell
b74	beta_cell
b75	beta_cell
b76	beta_cell
b77	beta_cell
b78	beta_cell
b79	beta_cell
b80	beta_cell
b81	beta_cell
b82	beta_cell
b83	beta_cell
b84	beta_cell
b85	beta_cell
b86	beta_cell
b87	beta_cell
b88	beta_cell
b89	beta_cell
b90	beta_cell
b91	beta_cell
b92	beta_cell
b93	beta_cell
b94	beta_cell
b95	beta_cell
b96	beta_cell
b97	beta_cell
b98	beta_cell
b99	beta_cell
b100	beta_cell
