,wt,wt1,wt2,wt3,wt4,wt5,wt6,wt7,wt8,wt9,wt10,wt11,wt12,wt13,wt14,wt15,wt16,wt17,wt18,wt19,wt20,wt21,wt22,wt23,wt24,wt25,wt26,wt27,wt28,wt29,wt30,wt31,wt32,wt33,wt34,wt35,wt36,wt37,wt38,wt39,wt40,wt41,wt42,wt43,wt44,wt45,wt46,wt47,wt48,wt49,wt50,wt51,wt52,wt53,wt54,wt55,wt56,wt57,wt58,wt59,wt60,wt61,wt62,wt63,wt64,wt65,wt66,wt67,wt68,wt69,wt70,wt71,wt72,wt73,wt74,wt75,wt76,wt77,wt78,wt79,wt80,wt81,wt82,wt83,wt84,wt85,wt86,wt87,wt88,wt89,wt90,wt91,wt92,wt93,wt94,wt95,wt96,wt97,wt98,wt99,wt100,unp,unp1,unp2,unp3,unp4,unp5,unp6,unp7,unp8,unp9,unp10,unp11,unp12,unp13,unp14,unp15,unp16,unp17,unp18,unp19,unp20,unp21,unp22,unp23,unp24,unp25,unp26,unp27,unp28,unp29,unp30,unp31,unp32,unp33,unp34,unp35,unp36,unp37,unp38,unp39,unp40,unp41,unp42,unp43,unp44,unp45,unp46,unp47,unp48,unp49,unp50,unp51,unp52,unp53,unp54,unp55,unp56,unp57,unp58,unp59,unp60,unp61,unp62,unp63,unp64,unp65,unp66,unp67,unp68,unp69,unp70,unp71,unp72,unp73,unp74,unp75,unp76,unp77,unp78,unp79,unp80,unp81,unp82,unp83,unp84,unp85,unp86,unp87,unp88,unp89,unp90,unp91,unp92,unp93,unp94,unp95,unp96,unp97,unp98,unp99,unp100
0_B,0.4,0.323833,0.363054,0.210304,-0.0542936,0.504663,0.662169,0.570921,0.278733,0.705501,0.277959,0.699389,0.7314,0.457171,0.712875,0.0626029,0.435614,0.349246,0.516143,0.633236,0.29381,0.108824,0.539677,0.0244754,0.301149,0.171359,0.258395,0.350556,0.483862,0.253854,-0.0180637,0.602551,0.384808,0.603929,0.28988,0.264635,0.193098,0.266618,0.505576,0.418988,0.596626,0.422555,0.331706,-0.0744067,0.468986,0.441191,0.472861,0.44803,0.743383,0.479745,0.438399,0.536228,0.0512419,0.367194,0.54191,0.69145,0.335092,0.0164877,0.0799971,0.234659,0.413353,0.290625,0.492611,0.437407,0.580717,0.445246,0.403798,0.588027,0.572329,0.37797,0.132576,0.0936242,0.3772,0.89157,0.0125755,0.197029,0.388499,0.185383,0.62655,0.708379,0.455451,0.524107,0.590384,0.518043,0.5372,0.446624,0.517093,0.680749,0.220182,0.245129,0.204243,0.20537,0.524663,0.51402,0.279916,0.498711,0.351007,0.367044,0.534482,0.426059,0.741873,0.15,0.181249,0.540248,0.116991,0.444417,-0.048743,0.536505,0.206757,-0.199212,0.0875738,-0.0510009,0.214085,0.486745,-0.0222098,0.00560491,0.112322,0.11093,0.103966,0.131026,0.0107914,0.118098,0.305926,-0.0678788,0.362318,-0.0336289,0.471858,0.307665,0.0831376,-0.00281194,0.068019,-0.0316904,0.144102,0.198331,0.290984,0.127842,0.0436371,0.582548,0.224752,-0.259323,0.0989576,0.00276006,0.402499,-0.0557262,0.00128891,0.108266,-0.0326081,0.146349,0.324499,-0.0680422,0.0992842,0.0418148,-0.0558141,-0.180935,0.0709253,0.147068,0.42995,-0.410792,0.304361,-0.0356171,0.347427,-0.00585886,0.0237463,0.08826,0.01341,0.00843027,0.251652,-0.0425659,-0.212088,-0.149342,0.424478,0.0729321,0.233861,0.127866,0.221091,-0.0106013,0.572453,0.207282,0.168729,0.335996,0.347155,-0.0790188,0.0125146,0.532646,0.208895,0.197591,-0.00486539,-0.0317401,-0.131936,0.0971029,0.0204278,0.272065,0.447921,0.439917,0.175417,0.329352,0.298448,0.146953,0.438756,-0.187017,0.294639,0.0834844
1_B,0.4,0.777905,0.241571,0.653831,0.60606,0.409429,0.192461,0.402256,0.564649,0.204814,0.573707,0.22956,0.0347328,0.354574,0.261819,0.000711102,0.142364,0.238429,0.423602,0.537746,0.435838,0.202212,0.504201,0.490669,0.610148,0.208344,0.417031,0.355508,0.796913,0.711578,0.447386,0.298352,0.606552,0.201979,0.246243,0.344687,0.103118,0.116914,-0.041028,0.463583,0.650079,0.416258,0.56045,0.393796,0.370026,0.160629,0.525242,0.901584,0.481658,0.0785996,0.374005,0.480746,0.364869,0.277831,0.0814897,0.53361,0.139431,0.424516,0.453967,0.256747,0.144124,0.493532,0.19327,0.246065,0.522727,0.79353,0.36113,0.344453,0.274535,0.443028,0.378452,0.202593,0.213636,0.554445,0.323501,0.153784,0.45264,0.294347,0.29577,0.238661,-0.420407,0.528969,0.833336,0.69144,0.731333,0.364254,0.318682,0.465249,0.119278,0.150167,0.382418,0.472238,0.208954,0.960739,0.80379,0.299944,0.235319,0.269071,0.490804,0.310748,0.212795,0.05,0.225009,0.11659,-0.190766,0.139443,-0.272101,0.142146,0.0666931,-0.213809,0.321712,0.0693148,-0.151228,-0.0489195,-0.0537446,0.0755215,0.0263746,0.0040819,0.0826221,0.556256,0.10887,0.00883663,0.0144934,-0.05038,0.33711,0.314994,-0.00405116,0.070014,-0.0317303,-0.064169,0.122375,-0.0869941,0.0612186,-0.0938721,0.109296,0.318337,-0.0635736,-0.0432121,-0.0703328,0.0609763,-0.130623,0.365339,-0.0879914,-0.0129631,0.113608,0.247768,-0.0182095,0.0135107,0.00388481,-0.185582,0.106348,0.0149023,-0.300059,0.214868,0.47735,-0.168118,-0.107142,0.104723,0.111159,-0.135292,0.00110284,0.0889248,0.665755,-0.0251847,-0.0628246,0.113632,0.12717,0.330146,0.00969367,0.232513,0.279643,-0.00456724,-0.0101257,0.04344,-0.575291,0.0605125,0.476185,0.551618,-0.138753,-0.112592,0.0783437,-0.142136,0.313412,0.0705308,0.184427,-0.061093,0.461336,-0.0430889,-0.107288,0.053996,-0.109378,0.0818316,0.107419,-0.0770399,-0.125536,-0.244684,0.305236,-0.0225802,-0.0317552,0.165976,-0.0397879,-0.168847
2_B,0.4,0.129747,0.42247,0.156429,0.575918,0.696313,0.723457,0.253825,0.0639415,0.412831,0.432532,0.299833,0.640417,0.452937,0.432083,0.0643424,0.17594,0.652871,0.388825,0.557817,0.0613001,0.626858,0.65081,0.163842,0.602469,0.226939,0.107405,0.617296,0.585274,0.472261,0.140811,0.461052,0.300051,0.579931,-0.0609247,0.548927,0.168864,0.411024,0.326966,0.370524,0.304467,0.291854,0.650568,0.236442,0.279498,0.167707,0.501522,0.754229,0.626631,0.625905,0.39199,0.507328,0.587578,0.576123,0.376659,0.406799,0.138408,0.652092,0.409151,0.483175,0.251664,0.658053,0.390949,0.509274,0.164788,0.333725,0.491491,0.610981,-0.0353971,0.318801,0.55117,0.405888,0.339759,0.138947,0.437664,0.291344,0.543106,0.566777,-0.0229266,0.619903,0.404047,0.436758,0.655247,0.0674034,0.536821,0.42371,0.277811,0.526121,0.07655,0.543897,0.277078,0.525738,0.0913111,0.309035,0.411606,0.646838,0.31577,0.468776,0.727545,0.471829,0.392248,0.15,-0.233409,0.0468245,0.587023,-0.0614152,0.0827283,0.554108,0.257579,0.319928,0.187604,-0.324733,0.142258,-0.227718,0.0842366,0.0580642,0.154039,0.113025,-0.0409972,0.299713,0.253907,0.00779588,0.00746683,-0.0256782,-0.0139913,-0.167819,-0.34905,0.0644057,-0.169351,0.23938,-0.0953493,-0.152918,0.0539422,-0.230883,0.297385,0.0457449,-0.135819,0.203077,0.338368,-0.102964,0.00720407,0.0634,0.506023,-0.311973,0.240139,0.0701249,0.453546,-0.0444187,0.0303573,0.217329,0.152377,0.0746403,-0.148193,0.655781,0.415313,-0.0405647,0.196693,0.0894099,0.377775,0.0764098,-0.152017,-0.125776,0.0293923,0.212209,0.153812,0.0443858,0.287642,0.225067,0.0206281,-0.125232,0.221376,-0.226083,-0.0148118,-0.382069,0.208432,-0.04161,0.236039,0.127724,0.408784,0.0327906,-0.122755,0.398695,0.208687,0.350768,0.148035,-0.0839947,0.119307,0.516414,0.0781812,0.0220321,0.336238,0.334515,-0.157814,-0.285666,0.196329,0.303323,0.260249,0.116638,0.0605131,0.140352,0.302538,0.275841
3_B,0.4,0.875115,0.287632,0.164439,0.119831,0.331264,0.127578,0.345247,0.553237,0.370385,0.523454,0.720789,0.171992,0.229805,0.0881849,0.457411,0.39028,0.470255,0.716523,0.281448,0.363693,0.449471,0.449077,0.570333,0.355743,0.0835628,0.307038,0.0853584,0.314742,0.302629,0.159375,0.45971,0.173601,0.29057,0.454177,0.0973288,0.311536,0.428723,0.361965,0.715185,0.269876,0.802065,0.313366,0.162929,0.263665,0.488213,0.346556,0.640613,0.349527,0.741288,0.464444,0.209461,0.237245,0.720366,0.297153,0.256274,0.338061,0.386739,0.454218,0.671168,0.300306,0.465606,0.487261,0.157431,0.463716,0.667996,0.48402,0.325622,0.257563,0.576183,0.563426,0.244919,0.49793,0.260687,0.466158,0.337212,-0.0212906,0.515053,0.483187,0.542091,0.433271,0.563062,0.436585,0.515297,0.57537,0.384235,0.309738,0.20714,0.0366125,0.348366,0.12364,0.630629,0.159239,0.575281,0.400604,0.199405,0.169585,0.198897,0.451418,0.626405,0.393065,0.05,0.295251,0.164303,0.176088,-0.0457563,0.227713,0.347127,0.103178,0.214958,0.18493,-0.106778,0.329465,0.0134386,0.169676,-0.0119976,0.159654,0.270613,0.162962,-0.174015,0.0149049,0.484787,-0.199347,-0.0684008,-0.031512,-0.0611912,0.150863,-0.0903752,0.180743,-0.131379,0.378202,0.335148,0.134552,0.0299755,-0.250394,-0.225597,0.482257,0.419028,-0.00541748,-0.161915,0.18108,0.276231,-0.124458,-0.000820771,-0.405683,0.0860188,0.019782,0.00454222,0.0531179,0.0787837,0.337787,0.0743428,-0.297163,-0.0230988,-0.0571081,0.0118209,-0.0997553,0.428307,0.365578,-0.0409068,0.0884853,-0.048354,0.00301356,0.212435,-0.102017,-0.0835641,0.199024,0.251524,-0.283627,0.0563635,-0.062569,0.209645,-0.287547,-0.0707075,-0.0514105,0.0316022,0.154081,-0.160731,0.12822,-0.291141,0.0265964,0.475884,-0.296395,0.111302,0.369552,0.157715,-0.0903569,0.169279,0.0124056,0.268975,0.163681,-0.123802,-0.0549136,-0.115799,0.04586,-0.0604638,-0.0979613,-0.0958141,0.0722564,-0.119696,-0.384542,-0.257808
0_CI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.165652,0.386155,0.302785,0.092943,0.20233,0.16513,0.146441,-0.220552,0.0921245,0.200348,0.161635,0.304784,-0.33542,0.164525,0.429113,-0.190892,0.356899,0.285377,0.0549905,0.144888,0.392026,-0.00328367,0.301349,0.533151,0.0234845,-0.0313492,-0.0449587,0.26557,0.433771,0.453758,0.09556,0.506477,0.101259,0.124,0.164489,0.246825,0.576388,0.41543,0.388369,0.381878,0.381533,0.231464,0.204551,-0.0476346,-0.0160514,0.308915,0.300756,-0.00478779,0.226002,-0.264377,0.349106,-0.321375,0.182526,0.136465,0.272517,0.123525,0.0867359,0.270404,0.225073,0.140945,0.299975,0.239123,0.154306,0.0783423,0.0469336,0.0817841,0.193991,-0.0118943,0.102952,0.0104724,0.00103668,0.360912,0.377364,-0.0225811,0.476934,0.482274,0.271924,0.0907832,0.203229,0.0990916,0.349134,-0.134181,-0.239988,0.348336,0.141459,-0.203021,0.417193,0.122613,0.335594,0.0531739,0.127712,0.593474,0.359348,0.0328961,0.205517,0.349588,0.326372,0.373516,0.132364,0.328316
1_CI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2_CI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
3_CI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,-0.355887,-0.00363569,0.285512,-0.43658,-0.0227876,0.0958006,0.168839,-0.101477,0.198589,-0.0745722,0.207853,0.0160098,0.033334,-0.165094,0.238985,-0.40621,0.146666,-0.268159,0.245973,0.259783,-0.134098,0.207593,-0.0819139,0.370355,-0.103665,0.317886,0.107783,-0.131149,-0.296637,-0.285376,0.184023,-0.12553,-0.0221659,0.170513,0.0701572,0.319791,0.22613,0.0594044,0.117364,0.327695,-0.201698,0.0075917,-0.0279882,0.599413,-0.242661,-0.0852471,-0.0331033,-0.0771135,0.0776571,0.114891,0.237775,0.0357823,0.0827303,0.0883879,0.208593,0.253128,0.219396,0.110032,0.10347,0.112288,-0.0698311,0.47717,0.0209876,0.336674,-0.151238,0.0740619,-0.0366006,-0.167192,-0.303002,-0.0200343,-0.0583692,-0.0564599,-0.153995,0.102058,-0.000269657,0.0376448,-0.146819,0.198898,0.0280574,0.299401,-0.151343,0.0709926,0.172629,0.181112,-0.0632542,-0.328653,0.238154,-0.0447133,-0.221021,0.166022,0.0133756,0.0140083,-0.201225,0.261175,0.0389543,0.13833,-0.18542,-0.228384,0.13938,0.185941
0_CN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
1_CN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
