,wt,wt1,wt2,wt3,wt4,wt5,wt6,wt7,wt8,wt9,wt10,wt11,wt12,wt13,wt14,wt15,wt16,wt17,wt18,wt19,wt20,wt21,wt22,wt23,wt24,wt25,wt26,wt27,wt28,wt29,wt30,wt31,wt32,wt33,wt34,wt35,wt36,wt37,wt38,wt39,wt40,wt41,wt42,wt43,wt44,wt45,wt46,wt47,wt48,wt49,wt50,wt51,wt52,wt53,wt54,wt55,wt56,wt57,wt58,wt59,wt60,wt61,wt62,wt63,wt64,wt65,wt66,wt67,wt68,wt69,wt70,wt71,wt72,wt73,wt74,wt75,wt76,wt77,wt78,wt79,wt80,wt81,wt82,wt83,wt84,wt85,wt86,wt87,wt88,wt89,wt90,wt91,wt92,wt93,wt94,wt95,wt96,wt97,wt98,wt99,wt100,unp,unp1,unp2,unp3,unp4,unp5,unp6,unp7,unp8,unp9,unp10,unp11,unp12,unp13,unp14,unp15,unp16,unp17,unp18,unp19,unp20,unp21,unp22,unp23,unp24,unp25,unp26,unp27,unp28,unp29,unp30,unp31,unp32,unp33,unp34,unp35,unp36,unp37,unp38,unp39,unp40,unp41,unp42,unp43,unp44,unp45,unp46,unp47,unp48,unp49,unp50,unp51,unp52,unp53,unp54,unp55,unp56,unp57,unp58,unp59,unp60,unp61,unp62,unp63,unp64,unp65,unp66,unp67,unp68,unp69,unp70,unp71,unp72,unp73,unp74,unp75,unp76,unp77,unp78,unp79,unp80,unp81,unp82,unp83,unp84,unp85,unp86,unp87,unp88,unp89,unp90,unp91,unp92,unp93,unp94,unp95,unp96,unp97,unp98,unp99,unp100
0_B,0.4,0.391189,0.402832,0.405203,0.401271,0.389579,0.407812,0.373941,0.387256,0.393194,0.406783,0.382761,0.406548,0.382827,0.409237,0.39303,0.397003,0.411064,0.398354,0.389463,0.396252,0.409029,0.407776,0.412723,0.387058,0.395074,0.392759,0.378552,0.420959,0.395929,0.394265,0.392682,0.398747,0.399117,0.392975,0.406524,0.393007,0.395245,0.399122,0.402541,0.394233,0.39748,0.387361,0.399654,0.406107,0.414107,0.406652,0.397518,0.387024,0.403894,0.409326,0.416141,0.396948,0.393003,0.406332,0.393847,0.387198,0.416057,0.403522,0.399972,0.401598,0.400718,0.403355,0.396916,0.405127,0.407491,0.403487,0.42216,0.400363,0.392458,0.396405,0.400268,0.388022,0.389992,0.39751,0.396065,0.398426,0.388089,0.397492,0.403356,0.417488,0.385567,0.407446,0.379788,0.410161,0.389986,0.395799,0.401564,0.402881,0.396747,0.408817,0.404278,0.39958,0.382477,0.415355,0.406111,0.396465,0.401078,0.416097,0.398827,0.403162,0.15,0.150587,0.136911,0.154929,0.163048,0.161511,0.163665,0.154919,0.152797,0.16495,0.143341,0.124356,0.14501,0.145049,0.1541,0.16283,0.133094,0.144193,0.150031,0.148895,0.158926,0.162329,0.153604,0.146881,0.146202,0.156402,0.149749,0.161503,0.146141,0.147256,0.138724,0.148968,0.175896,0.137788,0.180785,0.131747,0.145889,0.135908,0.146505,0.151738,0.153263,0.15318,0.141283,0.141801,0.136877,0.163108,0.151157,0.146314,0.154332,0.146503,0.153861,0.13384,0.163758,0.154267,0.131767,0.148189,0.152483,0.140806,0.146659,0.140303,0.149224,0.161816,0.140114,0.142526,0.149872,0.137277,0.136634,0.129177,0.159704,0.143926,0.144898,0.158589,0.139773,0.142355,0.143435,0.155608,0.159662,0.14694,0.149556,0.146857,0.174894,0.152275,0.159554,0.165248,0.158182,0.126963,0.162315,0.137019,0.161263,0.156813,0.137248,0.141762,0.169539,0.14774,0.151555,0.161652,0.145912,0.154673,0.143675,0.148406,0.141141
1_B,0.4,0.394216,0.388678,0.406945,0.412556,0.413196,0.399099,0.39166,0.392546,0.400507,0.402403,0.391934,0.388009,0.388366,0.40268,0.396495,0.386019,0.406824,0.40981,0.398932,0.400121,0.401955,0.421603,0.382312,0.390485,0.413402,0.393703,0.418366,0.393264,0.396901,0.384923,0.386063,0.416967,0.427507,0.397025,0.398769,0.411433,0.387982,0.421208,0.404261,0.402328,0.406761,0.392358,0.40018,0.399819,0.386988,0.394623,0.409417,0.396849,0.400743,0.390772,0.409707,0.400926,0.385328,0.387575,0.413479,0.405448,0.417424,0.398491,0.395518,0.401011,0.395829,0.400933,0.396621,0.423588,0.399857,0.399968,0.398076,0.403628,0.415449,0.398277,0.406312,0.40233,0.380626,0.386382,0.404752,0.410057,0.384707,0.398255,0.40061,0.403354,0.403198,0.397788,0.403077,0.400602,0.407242,0.401501,0.405116,0.414859,0.398204,0.401134,0.3996,0.405213,0.401913,0.389067,0.395842,0.387908,0.397854,0.397141,0.389701,0.407345,0.05,0.0599862,0.0388175,0.0572384,0.0414789,0.0469266,0.0397768,0.0493866,0.0492582,0.0434975,0.0364216,0.0475402,0.0276006,0.0374492,0.0573198,0.0394341,0.0604103,0.055097,0.0340422,0.061997,0.0453262,0.0784754,0.0507013,0.063792,0.0384352,0.0548608,0.0699837,0.0419311,0.0285193,0.043217,0.0584838,0.0614924,0.0439556,0.0541632,0.064536,0.0656867,0.0304479,0.0566275,0.0478227,0.0413254,0.0287175,0.0427708,0.0432408,0.0536593,0.0534763,0.0496872,0.0311346,0.0467633,0.0460445,0.0518352,0.0451241,0.0334077,0.0529107,0.050459,0.0423638,0.0665027,0.0552828,0.0663609,0.0301594,0.0423356,0.0447796,0.0525945,0.0626768,0.0446591,0.0406836,0.0370673,0.0420913,0.0399691,0.062558,0.0607283,0.0520981,0.052813,0.0507496,0.0503431,0.0624071,0.0431645,0.0560592,0.0356942,0.0613486,0.0526013,0.0459531,0.0427869,0.0629483,0.0449396,0.0587393,0.0353426,0.0420389,0.036892,0.0548419,0.0609774,0.0469185,0.0726436,0.0603202,0.0289409,0.059598,0.0555304,0.0436606,0.0453776,0.0560864,0.0328068,0.059857
2_B,0.4,0.387581,0.418516,0.386902,0.408346,0.403514,0.40887,0.404208,0.384517,0.396262,0.402991,0.400867,0.399149,0.404391,0.392091,0.39364,0.392472,0.416626,0.394023,0.401311,0.387662,0.405019,0.414295,0.403311,0.394211,0.405184,0.391796,0.416982,0.400574,0.402405,0.412054,0.405103,0.403871,0.375227,0.402331,0.380128,0.387614,0.382841,0.386614,0.400298,0.381631,0.385752,0.389054,0.406576,0.409265,0.42164,0.416072,0.389217,0.401559,0.397498,0.390666,0.399383,0.410502,0.395366,0.399155,0.411045,0.41104,0.409711,0.392608,0.404293,0.397226,0.381682,0.395362,0.408363,0.375716,0.40074,0.40992,0.42415,0.412617,0.413115,0.401331,0.381769,0.394353,0.404166,0.400534,0.383463,0.394926,0.410114,0.399449,0.392914,0.396877,0.390776,0.417861,0.389245,0.381732,0.430823,0.400191,0.403606,0.394331,0.396218,0.391424,0.403801,0.410748,0.398178,0.408174,0.406029,0.417104,0.387255,0.40093,0.400352,0.375993,0.15,0.162775,0.158725,0.160732,0.150744,0.153336,0.162037,0.137914,0.158359,0.151854,0.14822,0.152938,0.146273,0.144988,0.153339,0.13127,0.151408,0.145544,0.138641,0.140632,0.1608,0.132187,0.158807,0.150903,0.145863,0.145898,0.142254,0.137968,0.145737,0.145672,0.137013,0.129915,0.157685,0.149114,0.152411,0.147474,0.146671,0.149305,0.138063,0.14167,0.165451,0.129742,0.143087,0.1471,0.149059,0.1576,0.173061,0.140261,0.146599,0.154849,0.14068,0.137037,0.134984,0.137857,0.158873,0.143453,0.151945,0.160745,0.148752,0.1652,0.135063,0.135743,0.137795,0.149652,0.157498,0.136129,0.149213,0.144771,0.139351,0.148338,0.143577,0.1632,0.136465,0.152586,0.151014,0.138378,0.143355,0.139695,0.152856,0.137557,0.154889,0.161175,0.137438,0.137054,0.135158,0.136087,0.14085,0.161306,0.141204,0.152538,0.143584,0.145938,0.148224,0.138142,0.140172,0.154147,0.145948,0.143364,0.141079,0.162822,0.139206
3_B,0.4,0.390599,0.400952,0.407869,0.404232,0.425606,0.399355,0.399646,0.402676,0.39292,0.38851,0.391952,0.402668,0.392562,0.410584,0.400023,0.406806,0.386538,0.409482,0.402118,0.394925,0.405742,0.398656,0.402369,0.402346,0.41009,0.388067,0.39696,0.401269,0.398315,0.402947,0.402396,0.394748,0.383318,0.408706,0.376825,0.402343,0.405505,0.405994,0.397251,0.394737,0.404433,0.409728,0.381419,0.391989,0.391164,0.411574,0.391666,0.398566,0.407851,0.399274,0.400586,0.39448,0.41063,0.409217,0.394459,0.411546,0.410351,0.407782,0.400594,0.396846,0.402082,0.403235,0.395627,0.38723,0.411747,0.394466,0.405551,0.408322,0.38825,0.410833,0.415848,0.386119,0.402321,0.396684,0.406583,0.398783,0.39683,0.373155,0.392987,0.407989,0.391903,0.391476,0.39886,0.387723,0.403129,0.400962,0.376874,0.398881,0.400938,0.402694,0.40742,0.399178,0.397585,0.390911,0.398337,0.400063,0.385666,0.396588,0.403446,0.395735,0.05,0.0416145,0.0675063,0.0462412,0.0428445,0.0616985,0.0446456,0.0565809,0.0224721,0.0548752,0.042484,0.037662,0.046817,0.0547685,0.0643368,0.0454855,0.0526899,0.026462,0.0430318,0.0451895,0.0612295,0.0564526,0.0372488,0.0634078,0.0588281,0.0501059,0.0515909,0.0544085,0.0581338,0.055646,0.0377023,0.035898,0.0436352,0.0465623,0.0569971,0.0504516,0.0551321,0.0668115,0.0621891,0.0379569,0.0459099,0.04553,0.0330349,0.0482754,0.0571549,0.0527733,0.0699876,0.0455194,0.0439161,0.0371516,0.0509001,0.0524075,0.0395469,0.0521911,0.0709258,0.0374895,0.0374879,0.0515366,0.0550222,0.0489205,0.0552939,0.0324591,0.0409685,0.049015,0.0275555,0.051143,0.0508834,0.0678501,0.0290659,0.040876,0.0492443,0.0409361,0.0541584,0.0470724,0.0328632,0.0445415,0.0448176,0.0613006,0.0514683,0.0365887,0.0468755,0.0639653,0.0514913,0.0587304,0.0520846,0.0503839,0.048555,0.0419337,0.0611445,0.0528473,0.0630897,0.0569796,0.0438016,0.0581298,0.0486842,0.0329646,0.0538211,0.063558,0.0381068,0.0772709,0.0330509
0_CI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.142231,0.1449,0.133096,0.159307,0.156952,0.159127,0.151235,0.138443,0.138563,0.150399,0.142492,0.155895,0.147307,0.139341,0.155663,0.14875,0.151149,0.158933,0.137183,0.153288,0.143083,0.153515,0.133314,0.148768,0.145589,0.147988,0.159504,0.148923,0.148994,0.163144,0.162044,0.158586,0.140294,0.136464,0.14015,0.132044,0.159574,0.152223,0.153909,0.16253,0.131019,0.128822,0.154369,0.148063,0.142219,0.163377,0.13459,0.145799,0.145383,0.158696,0.149869,0.160011,0.157113,0.156005,0.137305,0.15017,0.150837,0.144822,0.159026,0.150777,0.139537,0.15934,0.145127,0.150459,0.159653,0.155137,0.155626,0.144107,0.139061,0.14127,0.150438,0.145816,0.153929,0.129566,0.154938,0.138601,0.142223,0.158597,0.136512,0.139959,0.147836,0.15165,0.159481,0.131327,0.13414,0.144254,0.144056,0.15067,0.146863,0.157948,0.143299,0.137333,0.139738,0.157022,0.149826,0.155953,0.14755,0.145852,0.146285,0.167679
1_CI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_CI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3_CI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0402957,0.0403272,0.0442968,0.0555523,0.0582921,0.0503665,0.0565427,0.0601651,0.0587821,0.0487997,0.0311413,0.0759197,0.0382839,0.049977,0.0424183,0.0543653,0.0414118,0.0519706,0.0531301,0.064229,0.0555526,0.0498876,0.0550054,0.0640552,0.0487907,0.0506358,0.0465126,0.0478455,0.0520952,0.0426471,0.0387552,0.065564,0.0685128,0.0531258,0.0548903,0.0412533,0.0535006,0.0523745,0.0695838,0.0624964,0.047467,0.0605389,0.0345635,0.0459272,0.0662392,0.0449226,0.0406924,0.0281567,0.0537502,0.0304403,0.0492578,0.0630446,0.0700151,0.0548839,0.048086,0.0423711,0.0655944,0.0578558,0.0602015,0.0644787,0.0447116,0.0367383,0.0510037,0.0495231,0.0639673,0.0751443,0.0471265,0.0472321,0.0538495,0.0710823,0.0527868,0.0594103,0.0450294,0.0567287,0.0637925,0.0563525,0.0368586,0.0314068,0.0496726,0.0502471,0.0340957,0.050654,0.0572777,0.0312075,0.0732188,0.0503732,0.0468259,0.0468102,0.0465547,0.0486629,0.0295075,0.0500472,0.0503466,0.0379758,0.041146,0.0467052,0.0404398,0.0465095,0.0363894,0.0564254
0_CN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_CN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
