,wt,wt1,wt2,wt3,wt4,wt5,wt6,wt7,wt8,wt9,wt10,wt11,wt12,wt13,wt14,wt15,wt16,wt17,wt18,wt19,wt20,wt21,wt22,wt23,wt24,wt25,wt26,wt27,wt28,wt29,wt30,wt31,wt32,wt33,wt34,wt35,wt36,wt37,wt38,wt39,wt40,wt41,wt42,wt43,wt44,wt45,wt46,wt47,wt48,wt49,wt50,wt51,wt52,wt53,wt54,wt55,wt56,wt57,wt58,wt59,wt60,wt61,wt62,wt63,wt64,wt65,wt66,wt67,wt68,wt69,wt70,wt71,wt72,wt73,wt74,wt75,wt76,wt77,wt78,wt79,wt80,wt81,wt82,wt83,wt84,wt85,wt86,wt87,wt88,wt89,wt90,wt91,wt92,wt93,wt94,wt95,wt96,wt97,wt98,wt99,wt100,unp,unp1,unp2,unp3,unp4,unp5,unp6,unp7,unp8,unp9,unp10,unp11,unp12,unp13,unp14,unp15,unp16,unp17,unp18,unp19,unp20,unp21,unp22,unp23,unp24,unp25,unp26,unp27,unp28,unp29,unp30,unp31,unp32,unp33,unp34,unp35,unp36,unp37,unp38,unp39,unp40,unp41,unp42,unp43,unp44,unp45,unp46,unp47,unp48,unp49,unp50,unp51,unp52,unp53,unp54,unp55,unp56,unp57,unp58,unp59,unp60,unp61,unp62,unp63,unp64,unp65,unp66,unp67,unp68,unp69,unp70,unp71,unp72,unp73,unp74,unp75,unp76,unp77,unp78,unp79,unp80,unp81,unp82,unp83,unp84,unp85,unp86,unp87,unp88,unp89,unp90,unp91,unp92,unp93,unp94,unp95,unp96,unp97,unp98,unp99,unp100
0_B,0.4,0.125927,0.306035,0.45428,0.0530005,1.02478,0.90267,0.493093,-0.143865,-0.0453463,0.903018,0.440331,0.534919,0.22825,0.343749,0.440765,0.27689,0.65162,0.282771,-0.369205,0.982154,0.526999,1.05128,0.595941,0.302655,0.685247,0.545712,0.678874,0.479224,1.13792,0.0706927,0.0288308,0.344961,-0.217344,0.595757,0.478554,0.821572,0.530881,0.435842,0.591778,0.0507358,0.850109,0.338537,0.15849,0.459409,0.654069,0.548325,0.732484,0.280103,0.115614,0.69172,0.657092,0.564652,0.225116,0.834792,-6.92188E-05,0.510673,0.52435,0.599018,0.903339,0.847716,0.0680888,0.348219,0.87321,0.628027,0.554804,0.463374,0.537756,0.518029,0.347686,0.0113195,0.883248,-0.0367015,0.615916,0.00994024,0.390057,0.391715,0.260049,0.892117,0.68568,0.317228,0.0361963,0.228352,0.157758,0.43593,0.520369,0.782905,-0.587931,0.195835,0.822977,0.0614856,0.476082,0.114257,0.665968,0.873121,0.557505,0.0483813,0.0339654,-0.057183,0.0848659,0.557002,0.15,0.387809,0.709388,0.222478,-0.314929,0.644227,-0.0242542,-0.0244733,-0.0321029,0.421329,-0.241013,-0.0695324,0.0146926,0.0746312,0.385896,0.604707,0.343659,0.452622,0.617701,-0.0210053,-0.765286,0.303057,-0.1536,0.0112481,-0.782707,0.573515,0.167845,0.522856,0.0617058,0.0328668,0.10189,-0.38229,0.266362,-0.440114,0.0251449,0.212801,0.390504,0.213019,-0.034471,0.381323,0.215399,0.406988,0.105469,0.460357,0.276321,0.363232,0.0392395,0.479168,0.241103,0.283556,-0.204039,0.507286,-0.19825,0.172511,0.302173,0.325802,0.502368,0.0396515,-0.0499959,-0.0272232,0.358745,-0.149006,0.244284,0.557112,0.565214,0.0281768,-0.0370688,-0.0318818,0.129552,0.169564,0.251181,0.0857836,0.485091,0.0465924,0.164455,0.0396737,0.0919853,0.0766492,-0.415272,0.0287325,0.405609,0.336628,0.17066,0.53687,0.241332,0.414882,0.278803,0.00672238,0.538293,0.370736,0.176084,-0.0236677,-0.184745,0.540919,0.0908141,0.004556,0.0675716,0.0264048,-0.170208,0.477378,0.000107792
1_B,0.4,0.215221,0.130996,0.606529,0.312337,0.216734,0.224647,0.576435,0.900831,0.488647,0.219847,0.563378,-0.0248302,0.18806,0.36729,0.722797,0.513219,0.400413,0.259073,0.039879,0.640287,0.149307,0.811646,0.136621,0.731648,1.01551,-0.0411473,0.468624,0.612485,0.0502357,0.278086,0.651896,0.0926701,0.966205,0.461298,0.54007,-0.166948,0.155852,0.523691,0.0607458,0.586759,0.319143,0.649215,0.207238,-0.0829677,0.493401,0.487622,-0.0567491,0.637831,1.10368,0.538179,0.351043,1.10219,0.160179,0.128044,-0.182944,1.26385,0.975517,-0.00938361,0.462228,-0.242868,0.501533,0.315344,0.830072,0.708993,0.397606,0.501194,0.102044,-0.0782304,-0.218188,0.888645,0.464325,0.491328,0.303532,0.182197,0.164518,0.393677,0.48515,0.216717,0.782318,0.244877,0.0748358,0.278004,0.518951,0.387494,-0.563529,-0.384356,1.18418,0.446862,0.806803,0.384758,0.281739,-0.0970922,0.366799,-0.0760239,0.513328,0.240643,0.408426,0.676995,0.529291,0.12412,0.05,0.50028,0.0275396,0.143311,0.23067,-0.116974,0.245012,0.267638,0.275855,-0.1487,-0.179177,0.674768,-0.0164612,-0.511753,-0.0338811,-0.157561,0.472827,0.486977,0.152219,0.0167888,0.0933489,-0.0282643,0.289473,-0.0303932,-0.210607,0.111791,0.265819,-0.146842,-0.208298,0.491026,-0.105204,-0.0393507,0.398698,0.332743,0.85216,0.0901028,0.416668,0.0343131,-0.245356,0.15056,-0.155107,-0.402565,0.0686207,0.842715,0.261024,-0.105824,-0.458721,-0.254706,-0.402354,-0.296861,0.519306,0.192196,0.630354,0.0015028,-0.227921,-0.510014,-0.0190075,0.597961,-0.152726,-0.428275,0.177807,0.168472,0.612052,0.404783,0.20425,-0.0128821,0.231575,0.0790985,0.505303,-0.199625,0.412903,0.182739,0.360151,-0.0241147,1.85622E-05,0.426884,0.151988,0.09793,-0.0299429,-0.221615,0.268535,0.0638441,0.332393,-0.353464,0.388653,0.0340515,-0.179171,0.0912949,-0.241246,-0.368198,0.0467224,0.270653,0.4092,0.0335455,-0.273906,0.183108,0.0745626,-0.070694,0.172795,-0.445286,-0.153965
2_B,0.4,0.17286,-0.122312,0.496627,0.158835,0.331843,0.770762,0.147076,0.469334,0.0366886,0.598399,-0.194416,0.168211,0.517507,0.494346,0.382113,0.178587,0.302497,0.160399,0.645842,0.174992,0.205862,0.118651,0.378594,0.803973,0.516164,0.0694598,0.444542,0.509985,0.728194,0.50085,0.767224,-0.209594,0.474153,0.71326,0.234113,0.345936,0.160577,0.452218,0.356935,0.385627,0.0424388,0.504924,0.560155,0.141163,-0.0182314,0.531285,0.938303,0.557425,0.0249512,0.37861,0.243761,0.518621,1.05729,0.197528,0.161796,0.752489,0.132269,0.124035,0.450314,0.395144,0.464398,0.333008,0.428409,0.751604,0.19356,0.293788,0.111464,0.229363,0.543864,0.542757,0.259131,0.872334,0.327834,0.837638,0.149862,0.508142,1.00475,-0.261505,0.320419,0.240453,0.433363,0.321412,0.487073,0.291358,0.375624,0.413312,0.335945,0.687542,-0.116013,0.304005,0.394382,0.63538,0.472503,0.278681,0.576891,0.309916,0.0882008,0.0181787,0.235591,0.0263919,0.15,0.148818,0.394684,0.143251,0.595583,0.321865,0.470904,0.415325,0.386027,0.543915,-0.0232124,0.255134,-0.0613811,-0.00321576,-0.311616,-0.13717,0.0447392,0.121531,0.0819138,0.182555,0.106676,0.114114,-0.222178,0.0805854,0.362536,0.0550275,-0.0713224,-0.262087,0.140633,0.376349,0.144947,0.134307,-0.555891,0.0589853,0.201804,0.337378,0.477839,-0.0510548,0.131047,0.127835,0.180772,0.048377,0.0507267,0.150611,0.366782,0.458281,-0.311049,-0.494539,0.785382,0.526871,0.31861,0.447728,0.246741,-0.0798417,0.503766,0.0965548,-0.595218,0.169083,-0.215075,-0.160875,-0.196386,0.0640288,-0.455838,-0.422516,0.24243,0.376517,0.271365,0.433358,-0.469169,0.104377,0.232523,0.674944,-0.074861,0.062274,-0.175232,0.137243,0.247614,0.845247,0.208884,0.238086,0.440581,-0.0117808,-0.509192,0.185948,-0.175222,-0.359907,0.424298,-0.0421596,0.589809,-0.0455956,-0.0479394,0.593817,-0.0158681,0.114292,0.435028,-0.115687,0.0788556,-0.19467,0.366813,0.236639,-0.0582041
3_B,0.4,0.536254,0.40064,0.341595,-0.0343999,0.908562,0.381846,0.236321,0.914585,0.412074,0.243138,0.473909,0.0124997,0.338315,0.345067,1.06933,0.760698,0.0744091,0.440153,0.389797,0.890877,0.448856,0.735669,0.451324,-0.113094,0.41119,0.436935,0.648683,0.576701,-0.062811,0.156063,-0.124152,0.623547,0.369983,0.147689,0.542327,0.742799,0.178251,-0.0223412,0.814405,0.201191,0.319307,0.23608,0.221599,0.14084,0.654082,0.0931753,0.524525,0.069825,-0.0337911,0.447704,0.414946,0.731322,0.631299,0.899092,0.36536,0.469118,0.228734,0.773961,0.291366,0.397212,0.625855,0.403857,0.286256,0.424078,0.747129,0.820741,0.107137,0.693912,0.2614,0.566649,0.281658,0.773669,0.244818,0.284092,0.453554,0.123893,-0.105871,0.921067,0.506492,0.492929,0.587948,0.370044,0.143883,-0.177898,0.291474,0.304505,0.607627,0.574696,0.544368,0.197395,0.663094,0.616469,0.294718,0.604861,0.417632,0.631783,0.172801,0.280736,0.832788,0.227987,0.05,-0.419672,0.0773497,0.065828,-0.118095,-0.348662,0.436721,0.0146404,0.156558,0.0432073,-0.259122,0.0856731,0.265619,0.480203,0.670801,-0.302425,0.216042,-0.120571,-0.275039,-0.0862987,-0.164697,0.345155,-0.195048,0.0998687,0.244652,0.127971,-0.314584,0.239683,0.465591,-0.0942857,0.13906,-0.010164,-0.104965,0.142861,0.233622,0.0313143,-0.19339,0.900079,0.245985,-0.113108,0.367673,-0.387924,-0.326658,0.288135,0.223201,-0.419577,-0.152079,0.0641627,0.136893,-0.211763,-0.266675,0.206266,0.194206,-0.00946068,0.474636,0.45277,-0.0810486,0.347233,-0.204298,-0.0752619,0.361075,-0.269904,-0.270495,-0.119543,0.270598,-0.0551316,-0.0639497,-0.274721,0.100858,0.0231008,0.618975,-0.0432841,0.507034,0.165307,-0.0813507,0.789932,-0.177424,0.0712048,0.238334,0.0274073,0.16783,-0.0689971,-0.0939937,0.0866468,0.309601,0.381003,-0.195443,-0.0393086,0.242683,0.23113,-0.06359,-0.0960558,0.118586,0.140385,0.00134012,0.169808,0.265425,0.343014,-0.0786253,0.414653,-0.0919355
0_CI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.668459,0.0798047,0.511272,0.258733,-0.142642,0.122742,0.239165,0.3924,-0.0532,0.119077,0.233416,0.32725,0.0678518,0.582252,-0.0755254,0.323084,0.0140466,0.493859,0.582653,-0.0849826,0.0918073,0.00483739,0.725344,-0.619311,-0.756338,0.11543,0.0940763,0.265153,-0.183046,0.407722,-0.685113,0.0866907,0.520717,-0.298225,0.143741,0.350639,-0.295016,-0.0592827,0.305483,-0.0467012,-0.136011,0.655042,-0.0549577,0.384148,0.580183,0.0713304,0.468565,0.387128,0.595691,-0.224852,-0.223441,0.333226,0.171639,0.281716,0.401033,0.457517,-0.0746309,0.264401,-0.23156,0.552337,0.151107,0.077665,-0.359899,-0.108258,0.165059,-0.0611659,0.424498,-0.259664,0.0336688,0.278026,0.470151,0.17716,0.136292,0.805495,0.41129,0.167082,-0.207151,-0.0487504,0.850439,0.218298,0.327168,-0.069536,0.961796,-0.131237,-0.0249269,0.457509,-0.149223,0.518066,0.487745,0.289038,0.137758,-0.370399,0.104419,-0.0764735,-0.210839,-0.378512,-0.367941,0.365421,-0.14444,0.792412
1_CI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2_CI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
3_CI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0226322,0.122215,0.0215875,0.121945,0.134855,-0.389418,-0.0533386,0.133154,0.140974,0.0733448,0.0337992,0.103653,-0.339041,0.770729,0.426264,-0.0624884,0.15959,0.71501,-0.582484,-0.424601,-0.0457841,-0.138641,-0.108738,0.359654,0.0227185,-0.155911,0.00164312,-0.544514,-0.15822,0.0701668,0.31437,-0.0930588,-0.149225,-0.0340081,0.058535,0.323745,0.716034,-0.292225,-0.10995,-0.593992,-0.0242289,0.29809,-0.175078,-0.192027,-0.522686,-0.109241,0.371656,0.440349,-0.379896,-0.362275,-0.409635,0.16125,0.0403054,0.00400464,0.00287941,0.0330194,-0.165281,-0.282447,-0.254534,0.198949,-0.178503,0.190923,0.218527,0.208642,-0.14733,-0.275822,-0.0626648,-0.41374,0.344148,0.0282249,-0.409119,-0.24156,-0.240291,-0.199449,0.616756,-0.151577,0.445428,-0.642487,0.142905,-0.171281,0.261174,0.159888,-0.0443342,-0.418068,0.150038,-0.0855359,0.295115,0.213084,0.187094,0.0906245,-0.399066,0.0375661,-0.0380941,0.183824,-0.093996,0.14221,0.24599,0.0150155,-0.0165727,-0.0933612
0_CN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
1_CN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
