	AKT1	CCNA1	CTNNB1	E2F1	GRB2	MAPK1	MAPK14	MAPK8	MDM2	PDK1	SMAD7	SRC	TSC1	up	down	total
pert_790597	nochange	nochange	nochange	nochange	down	nochange	nochange	nochange	nochange	nochange	nochange	down	nochange	0	2	2
pert_797159	nochange	nochange	nochange	nochange	nochange	nochange	nochange	nochange	nochange	nochange	nochange	down	up	1	1	2
pert_613450	nochange	down	nochange	nochange	down	nochange	nochange	nochange	nochange	nochange	nochange	down	nochange	0	3	3
pert_620012	nochange	down	nochange	nochange	nochange	nochange	nochange	nochange	nochange	nochange	nochange	down	up	1	2	3
pert_731548	nochange	nochange	down	nochange	down	nochange	nochange	nochange	nochange	nochange	nochange	down	nochange	0	3	3
pert_738110	nochange	nochange	down	nochange	nochange	nochange	nochange	nochange	nochange	nochange	nochange	down	up	1	2	3
pert_777476	nochange	nochange	nochange	down	nochange	nochange	nochange	nochange	nochange	nochange	nochange	down	up	1	2	3
pert_788410	nochange	nochange	nochange	nochange	down	down	nochange	nochange	nochange	nochange	nochange	down	nochange	0	3	3
pert_790516	nochange	nochange	nochange	nochange	down	nochange	nochange	nochange	down	nochange	nochange	down	nochange	0	3	3
pert_790588	nochange	nochange	nochange	nochange	down	nochange	nochange	nochange	nochange	nochange	down	down	nochange	0	3	3
pert_790598	nochange	nochange	nochange	nochange	down	nochange	nochange	nochange	nochange	nochange	nochange	down	up	1	2	3
pert_794728	nochange	nochange	nochange	nochange	nochange	down	nochange	down	nochange	nochange	nochange	down	nochange	0	3	3
pert_794998	nochange	nochange	nochange	nochange	nochange	down	nochange	nochange	nochange	up	nochange	down	nochange	1	2	3
pert_796888	nochange	nochange	nochange	nochange	nochange	nochange	nochange	down	nochange	down	nochange	down	nochange	0	3	3
pert_796916	nochange	nochange	nochange	nochange	nochange	nochange	nochange	down	nochange	nochange	nochange	down	up	1	2	3
pert_797078	nochange	nochange	nochange	nochange	nochange	nochange	nochange	nochange	down	nochange	nochange	down	up	1	2	3
pert_797150	nochange	nochange	nochange	nochange	nochange	nochange	nochange	nochange	nochange	nochange	down	down	up	1	2	3
pert_797168	nochange	nochange	nochange	nochange	nochange	nochange	nochange	nochange	nochange	nochange	up	down	up	2	1	3
pert_797176	nochange	nochange	nochange	nochange	nochange	nochange	nochange	nochange	nochange	up	down	down	nochange	1	2	3
pert_797186	nochange	nochange	nochange	nochange	nochange	nochange	nochange	nochange	nochange	up	nochange	down	up	2	1	3
pert_967744	nochange	up	nochange	nochange	down	nochange	nochange	nochange	nochange	nochange	nochange	down	nochange	1	2	3
pert_974306	nochange	up	nochange	nochange	nochange	nochange	nochange	nochange	nochange	nochange	nochange	down	up	2	1	3
pert_554401	nochange	down	down	nochange	down	nochange	nochange	nochange	nochange	nochange	nochange	down	nochange	0	4	4
pert_560963	nochange	down	down	nochange	nochange	nochange	nochange	nochange	nochange	nochange	nochange	down	up	1	3	4
pert_600329	nochange	down	nochange	down	nochange	nochange	nochange	nochange	nochange	nochange	nochange	down	up	1	3	4
pert_611263	nochange	down	nochange	nochange	down	down	nochange	nochange	nochange	nochange	nochange	down	nochange	0	4	4
pert_613369	nochange	down	nochange	nochange	down	nochange	nochange	nochange	down	nochange	nochange	down	nochange	0	4	4
pert_613441	nochange	down	nochange	nochange	down	nochange	nochange	nochange	nochange	nochange	down	down	nochange	0	4	4
pert_613451	nochange	down	nochange	nochange	down	nochange	nochange	nochange	nochange	nochange	nochange	down	up	1	3	4
pert_617581	nochange	down	nochange	nochange	nochange	down	nochange	down	nochange	nochange	nochange	down	nochange	0	4	4
pert_617851	nochange	down	nochange	nochange	nochange	down	nochange	nochange	nochange	up	nochange	down	nochange	1	3	4
pert_619741	nochange	down	nochange	nochange	nochange	nochange	nochange	down	nochange	down	nochange	down	nochange	0	4	4
pert_619769	nochange	down	nochange	nochange	nochange	nochange	nochange	down	nochange	nochange	nochange	down	up	1	3	4
pert_619931	nochange	down	nochange	nochange	nochange	nochange	nochange	nochange	down	nochange	nochange	down	up	1	3	4
pert_620003	nochange	down	nochange	nochange	nochange	nochange	nochange	nochange	nochange	nochange	down	down	up	1	3	4
pert_620021	nochange	down	nochange	nochange	nochange	nochange	nochange	nochange	nochange	nochange	up	down	up	2	2	4
pert_620029	nochange	down	nochange	nochange	nochange	nochange	nochange	nochange	nochange	up	down	down	nochange	1	3	4
pert_620039	nochange	down	nochange	nochange	nochange	nochange	nochange	nochange	nochange	up	nochange	down	up	2	2	4
pert_729361	nochange	nochange	down	nochange	down	down	nochange	nochange	nochange	nochange	nochange	down	nochange	0	4	4
pert_731467	nochange	nochange	down	nochange	down	nochange	nochange	nochange	down	nochange	nochange	down	nochange	0	4	4
pert_731539	nochange	nochange	down	nochange	down	nochange	nochange	nochange	nochange	nochange	down	down	nochange	0	4	4
pert_731547	nochange	nochange	down	nochange	down	nochange	nochange	nochange	nochange	nochange	nochange	down	down	0	4	4
pert_731549	nochange	nochange	down	nochange	down	nochange	nochange	nochange	nochange	nochange	nochange	down	up	1	3	4
pert_735679	nochange	nochange	down	nochange	nochange	down	nochange	down	nochange	nochange	nochange	down	nochange	0	4	4
pert_735949	nochange	nochange	down	nochange	nochange	down	nochange	nochange	nochange	up	nochange	down	nochange	1	3	4
pert_737839	nochange	nochange	down	nochange	nochange	nochange	nochange	down	nochange	down	nochange	down	nochange	0	4	4
pert_737867	nochange	nochange	down	nochange	nochange	nochange	nochange	down	nochange	nochange	nochange	down	up	1	3	4
pert_738029	nochange	nochange	down	nochange	nochange	nochange	nochange	nochange	down	nochange	nochange	down	up	1	3	4
