AKT1 CCNA1 CTNNB1 E2F1 GRB2 MAPK1 MAPK14 MAPK8 MDM2 PDK1 SMAD7 SRC TSC1 up down total
pert_797158 nochange nochange nochange nochange nochange nochange nochange nochange nochange nochange nochange down nochange 0 1 1
pert_265717 down nochange nochange nochange nochange nochange nochange nochange nochange nochange nochange down nochange 0 2 2
pert_620011 nochange down nochange nochange nochange nochange nochange nochange nochange nochange nochange down nochange 0 2 2
pert_738109 nochange nochange down nochange nochange nochange nochange nochange nochange nochange nochange down nochange 0 2 2
pert_790597 nochange nochange nochange nochange down nochange nochange nochange nochange nochange nochange down nochange 0 2 2
pert_794971 nochange nochange nochange nochange nochange down nochange nochange nochange nochange nochange down nochange 0 2 2
pert_796915 nochange nochange nochange nochange nochange nochange nochange down nochange nochange nochange down nochange 0 2 2
pert_797077 nochange nochange nochange nochange nochange nochange nochange nochange down nochange nochange down nochange 0 2 2
pert_797131 nochange nochange nochange nochange nochange nochange nochange nochange nochange down nochange down nochange 0 2 2
pert_797149 nochange nochange nochange nochange nochange nochange nochange nochange nochange nochange down down nochange 0 2 2
pert_797159 nochange nochange nochange nochange nochange nochange nochange nochange nochange nochange nochange down up 1 1 2
pert_974305 nochange up nochange nochange nochange nochange nochange nochange nochange nochange nochange down nochange 1 1 2
pert_88570 down down nochange nochange nochange nochange nochange nochange nochange nochange nochange down nochange 0 3 3
pert_206668 down nochange down nochange nochange nochange nochange nochange nochange nochange nochange down nochange 0 3 3
pert_208858 down nochange down nochange nochange up nochange nochange nochange nochange nochange nochange nochange 1 2 3
pert_246034 down nochange nochange down nochange nochange nochange nochange nochange nochange nochange down nochange 0 3 3
pert_259156 down nochange nochange nochange down nochange nochange nochange nochange nochange nochange down nochange 0 3 3
pert_263530 down nochange nochange nochange nochange down nochange nochange nochange nochange nochange down nochange 0 3 3
pert_264988 down nochange nochange nochange nochange nochange down nochange nochange nochange nochange down nochange 0 3 3
pert_265474 down nochange nochange nochange nochange nochange nochange down nochange nochange nochange down nochange 0 3 3
pert_265636 down nochange nochange nochange nochange nochange nochange nochange down nochange nochange down nochange 0 3 3
pert_265690 down nochange nochange nochange nochange nochange nochange nochange nochange down nochange down nochange 0 3 3
pert_265708 down nochange nochange nochange nochange nochange nochange nochange nochange nochange down down nochange 0 3 3
pert_265718 down nochange nochange nochange nochange nochange nochange nochange nochange nochange nochange down up 1 2 3
pert_265726 down nochange nochange nochange nochange nochange nochange nochange nochange nochange up down nochange 1 2 3
pert_265744 down nochange nochange nochange nochange nochange nochange nochange nochange up nochange down nochange 1 2 3
pert_442864 down up nochange nochange nochange nochange nochange nochange nochange nochange nochange down nochange 1 2 3
pert_560962 nochange down down nochange nochange nochange nochange nochange nochange nochange nochange down nochange 0 3 3
pert_613210 nochange down nochange nochange down nochange nochange down nochange nochange nochange nochange nochange 0 3 3
pert_613450 nochange down nochange nochange down nochange nochange nochange nochange nochange nochange down nochange 0 3 3
pert_617824 nochange down nochange nochange nochange down nochange nochange nochange nochange nochange down nochange 0 3 3
pert_619768 nochange down nochange nochange nochange nochange nochange down nochange nochange nochange down nochange 0 3 3
pert_619930 nochange down nochange nochange nochange nochange nochange nochange down nochange nochange down nochange 0 3 3
pert_619984 nochange down nochange nochange nochange nochange nochange nochange nochange down nochange down nochange 0 3 3
pert_620002 nochange down nochange nochange nochange nochange nochange nochange nochange nochange down down nochange 0 3 3
pert_620012 nochange down nochange nochange nochange nochange nochange nochange nochange nochange nochange down up 1 2 3
pert_731548 nochange nochange down nochange down nochange nochange nochange nochange nochange nochange down nochange 0 3 3
pert_735922 nochange nochange down nochange nochange down nochange nochange nochange nochange nochange down nochange 0 3 3
pert_737866 nochange nochange down nochange nochange nochange nochange down nochange nochange nochange down nochange 0 3 3
pert_738028 nochange nochange down nochange nochange nochange nochange nochange down nochange nochange down nochange 0 3 3
pert_738082 nochange nochange down nochange nochange nochange nochange nochange nochange down nochange down nochange 0 3 3
pert_738100 nochange nochange down nochange nochange nochange nochange nochange nochange nochange down down nochange 0 3 3
pert_738108 nochange nochange down nochange nochange nochange nochange nochange nochange nochange nochange down down 0 3 3
pert_738110 nochange nochange down nochange nochange nochange nochange nochange nochange nochange nochange down up 1 2 3
pert_738838 nochange nochange down nochange nochange nochange up nochange nochange nochange nochange down nochange 1 2 3
pert_740272 nochange nochange down nochange nochange up nochange nochange nochange down nochange nochange nochange 1 2 3
pert_777476 nochange nochange nochange down nochange nochange nochange nochange nochange nochange nochange down up 1 2 3
pert_788410 nochange nochange nochange nochange down down nochange nochange nochange nochange nochange down nochange 0 3 3
pert_790330 nochange nochange nochange nochange down nochange nochange down nochange down nochange nochange nochange 0 3 3
pert_790348 nochange nochange nochange nochange down nochange nochange down nochange nochange down nochange nochange 0 3 3
pert_790354 nochange nochange nochange nochange down nochange nochange down nochange nochange nochange down nochange 0 3 3
pert_790516 nochange nochange nochange nochange down nochange nochange nochange down nochange nochange down nochange 0 3 3
pert_790570 nochange nochange nochange nochange down nochange nochange nochange nochange down nochange down nochange 0 3 3
pert_790588 nochange nochange nochange nochange down nochange nochange nochange nochange nochange down down nochange 0 3 3
pert_790598 nochange nochange nochange nochange down nochange nochange nochange nochange nochange nochange down up 1 2 3
pert_790840 nochange nochange nochange nochange down nochange nochange up nochange nochange nochange down nochange 1 2 3
pert_792788 nochange nochange nochange nochange down up nochange nochange nochange nochange nochange nochange up 2 1 3
pert_794728 nochange nochange nochange nochange nochange down nochange down nochange nochange nochange down nochange 0 3 3
pert_794890 nochange nochange nochange nochange nochange down nochange nochange down nochange nochange down nochange 0 3 3
pert_794944 nochange nochange nochange nochange nochange down nochange nochange nochange down nochange down nochange 0 3 3
pert_794962 nochange nochange nochange nochange nochange down nochange nochange nochange nochange down down nochange 0 3 3
pert_794970 nochange nochange nochange nochange nochange down nochange nochange nochange nochange nochange down down 0 3 3
pert_794998 nochange nochange nochange nochange nochange down nochange nochange nochange up nochange down nochange 1 2 3
pert_796834 nochange nochange nochange nochange nochange nochange nochange down down nochange nochange down nochange 0 3 3
pert_796888 nochange nochange nochange nochange nochange nochange nochange down nochange down nochange down nochange 0 3 3
pert_796906 nochange nochange nochange nochange nochange nochange nochange down nochange nochange down down nochange 0 3 3
pert_796916 nochange nochange nochange nochange nochange nochange nochange down nochange nochange nochange down up 1 2 3
pert_797050 nochange nochange nochange nochange nochange nochange nochange nochange down down nochange down nochange 0 3 3
pert_797068 nochange nochange nochange nochange nochange nochange nochange nochange down nochange down down nochange 0 3 3
pert_797078 nochange nochange nochange nochange nochange nochange nochange nochange down nochange nochange down up 1 2 3
pert_797122 nochange nochange nochange nochange nochange nochange nochange nochange nochange down down down nochange 0 3 3
pert_797132 nochange nochange nochange nochange nochange nochange nochange nochange nochange down nochange down up 1 2 3
pert_797140 nochange nochange nochange nochange nochange nochange nochange nochange nochange down up down nochange 1 2 3
pert_797150 nochange nochange nochange nochange nochange nochange nochange nochange nochange nochange down down up 1 2 3
pert_797168 nochange nochange nochange nochange nochange nochange nochange nochange nochange nochange up down up 2 1 3
pert_797176 nochange nochange nochange nochange nochange nochange nochange nochange nochange up down down nochange 1 2 3
pert_797186 nochange nochange nochange nochange nochange nochange nochange nochange nochange up nochange down up 2 1 3
pert_797400 nochange nochange nochange nochange nochange nochange nochange up nochange nochange nochange down down 1 2 3
pert_799106 nochange nochange nochange nochange nochange up nochange down nochange nochange nochange nochange up 2 1 3
pert_799346 nochange nochange nochange nochange nochange up nochange nochange nochange nochange nochange down up 2 1 3
pert_915256 nochange up down nochange nochange nochange nochange nochange nochange nochange nochange down nochange 1 2 3
pert_967744 nochange up nochange nochange down nochange nochange nochange nochange nochange nochange down nochange 1 2 3
pert_972118 nochange up nochange nochange nochange down nochange nochange nochange nochange nochange down nochange 1 2 3
pert_974062 nochange up nochange nochange nochange nochange nochange down nochange nochange nochange down nochange 1 2 3
pert_974224 nochange up nochange nochange nochange nochange nochange nochange down nochange nochange down nochange 1 2 3
pert_974278 nochange up nochange nochange nochange nochange nochange nochange nochange down nochange down nochange 1 2 3
pert_974296 nochange up nochange nochange nochange nochange nochange nochange nochange nochange down down nochange 1 2 3
pert_974306 nochange up nochange nochange nochange nochange nochange nochange nochange nochange nochange down up 2 1 3
pert_29521 down down down nochange nochange nochange nochange nochange nochange nochange nochange down nochange 0 4 4
pert_31711 down down down nochange nochange up nochange nochange nochange nochange nochange nochange nochange 1 3 4
pert_68887 down down nochange down nochange nochange nochange nochange nochange nochange nochange down nochange 0 4 4
pert_82009 down down nochange nochange down nochange nochange nochange nochange nochange nochange down nochange 0 4 4
pert_86383 down down nochange nochange nochange down nochange nochange nochange nochange nochange down nochange 0 4 4
pert_87841 down down nochange nochange nochange nochange down nochange nochange nochange nochange down nochange 0 4 4
pert_88327 down down nochange nochange nochange nochange nochange down nochange nochange nochange down nochange 0 4 4
pert_88489 down down nochange nochange nochange nochange nochange nochange down nochange nochange down nochange 0 4 4
pert_88543 down down nochange nochange nochange nochange nochange nochange nochange down nochange down nochange 0 4 4
pert_88561 down down nochange nochange nochange nochange nochange nochange nochange nochange down down nochange 0 4 4
pert_88571 down down nochange nochange nochange nochange nochange nochange nochange nochange nochange down up 1 3 4
pert_88579 down down nochange nochange nochange nochange nochange nochange nochange nochange up down nochange 1 3 4
pert_88597 down down nochange nochange nochange nochange nochange nochange nochange up nochange down nochange 1 3 4
pert_186985 down nochange down down nochange nochange nochange nochange nochange nochange nochange down nochange 0 4 4
pert_189175 down nochange down down nochange up nochange nochange nochange nochange nochange nochange nochange 1 3 4
pert_200107 down nochange down nochange down nochange nochange nochange nochange nochange nochange down nochange 0 4 4
pert_202297 down nochange down nochange down up nochange nochange nochange nochange nochange nochange nochange 1 3 4
pert_204481 down nochange down nochange nochange down nochange nochange nochange nochange nochange down nochange 0 4 4
pert_205939 down nochange down nochange nochange nochange down nochange nochange nochange nochange down nochange 0 4 4
pert_206425 down nochange down nochange nochange nochange nochange down nochange nochange nochange down nochange 0 4 4
pert_206587 down nochange down nochange nochange nochange nochange nochange down nochange nochange down nochange 0 4 4
pert_206641 down nochange down nochange nochange nochange nochange nochange nochange down nochange down nochange 0 4 4
pert_206659 down nochange down nochange nochange nochange nochange nochange nochange nochange down down nochange 0 4 4
pert_206667 down nochange down nochange nochange nochange nochange nochange nochange nochange nochange down down 0 4 4
pert_206669 down nochange down nochange nochange nochange nochange nochange nochange nochange nochange down up 1 3 4
pert_206677 down nochange down nochange nochange nochange nochange nochange nochange nochange up down nochange 1 3 4
pert_206695 down nochange down nochange nochange nochange nochange nochange nochange up nochange down nochange 1 3 4
pert_207397 down nochange down nochange nochange nochange up nochange nochange nochange nochange down nochange 1 3 4
pert_208129 down nochange down nochange nochange up down nochange nochange nochange nochange nochange nochange 1 3 4
pert_208615 down nochange down nochange nochange up nochange down nochange nochange nochange nochange nochange 1 3 4
pert_208777 down nochange down nochange nochange up nochange nochange down nochange nochange nochange nochange 1 3 4
pert_208831 down nochange down nochange nochange up nochange nochange nochange down nochange nochange nochange 1 3 4
pert_208849 down nochange down nochange nochange up nochange nochange nochange nochange down nochange nochange 1 3 4
