name Oct4 Sox2 Nanog EpiTFs Gata6 Lefty1 Pitx2 Esrrb Tbx3
pert_2 -16.891 4.148 35.959 0.33399999999999996 -4.857 -1.8559999999999999 0.82 2.319 2.88
pert_5 0.828 7.275 35.959 0.155 -5.008 -0.10400000000000001 -0.514 2.269 2.576
pert_7 39.413000000000004 8.258 1.7 0.7509999999999999 0.08900000000000001 5.236000000000001 -2.106 -0.8270000000000001 -1.3459999999999999
pert_8 39.413000000000004 14.085 35.959 -0.235 -5.336 3.7119999999999997 -3.4189999999999996 2.16 1.913
pert_11 -16.891 4.148 35.959 -0.833 -5.176 -2.211 0.447 3.7560000000000002 4.166
pert_14 3.208 7.695 35.959 -1.37 -5.438 -0.324 -1.173 4.11 4.188
pert_15 39.413000000000004 5.348 -15.411 -0.003 2.457 5.619 -1.849 -0.7829999999999999 -1.6
pert_16 39.413000000000004 8.6 3.71 -0.872 -0.657 4.671 -2.6839999999999997 1.275 0.569
pert_17 39.413000000000004 14.085 35.959 -2.336 -5.91 3.074 -4.09 4.747 4.227
pert_19 -16.891 -2.1069999999999998 -0.813 -1.733 0.11199999999999999 -1.169 1.23 2.9610000000000003 2.825
pert_20 -16.891 4.148 35.959 -2.792 -5.711 -2.805 -0.179 6.167999999999999 6.3229999999999995
pert_22 1.4169999999999998 1.486 1.31 -1.979 -0.38 0.547 -0.23 3.095 2.7119999999999997
pert_23 5.787000000000001 8.15 35.959 -3.0210000000000004 -5.904 -0.562 -1.8869999999999998 6.104 5.934
pert_24 39.413000000000004 5.348 -15.411 -1.882 1.944 5.048 -2.45 1.53 0.469
pert_25 39.413000000000004 8.941 5.716 -2.49 -1.401 4.1080000000000005 -3.259 3.372 2.479
pert_26 39.413000000000004 14.085 35.959 -3.361 -6.19 2.763 -4.418 6.0089999999999995 5.357
