name A B C D E F
0 0.171 0.497 0.447 -0.018 0.159 -0.009
1 0.177 0.494 0.445 -0.051 0.116 -0.026
2 0.184 0.489 0.441 -0.008 0.196 -0.004
3 0.189 0.527 0.474 0.004 0.188 0.002
4 0.193 0.517 0.465 -0.006 0.197 -0.003
5 0.193 0.500 0.450 -0.021 0.189 -0.011
6 0.177 0.496 0.447 0.011 0.137 0.006
7 0.185 0.476 0.429 -0.018 0.191 -0.009
8 0.188 0.501 0.451 -0.017 0.149 -0.009
9 0.179 0.487 0.439 0.001 0.120 0.000
10 0.177 0.467 0.420 -0.013 0.193 -0.007
11 0.187 0.471 0.424 -0.012 0.194 -0.006
12 0.181 0.471 0.424 -0.031 0.184 -0.016
13 0.191 0.488 0.439 -0.060 0.143 -0.031
14 0.177 0.547 0.492 0.019 0.152 0.010
15 0.175 0.480 0.432 -0.046 0.140 -0.024
16 0.195 0.493 0.444 -0.026 0.175 -0.014
17 0.180 0.471 0.424 -0.024 0.183 -0.012
18 0.175 0.536 0.483 0.003 0.201 0.001
19 0.196 0.487 0.438 0.006 0.146 0.003
20 0.198 0.481 0.433 -0.027 0.169 -0.014
21 0.170 0.472 0.425 -0.021 0.165 -0.011
22 0.195 0.513 0.462 0.012 0.148 0.006
23 0.184 0.547 0.492 0.013 0.175 0.007
24 0.187 0.490 0.441 0.012 0.125 0.006
25 0.167 0.487 0.438 -0.065 0.166 -0.034
26 0.188 0.481 0.432 -0.045 0.158 -0.023
27 0.197 0.508 0.458 -0.048 0.126 -0.025
28 0.174 0.508 0.457 -0.045 0.173 -0.023
29 0.188 0.535 0.482 -0.010 0.174 -0.005
30 0.193 0.549 0.494 -0.051 0.174 -0.026
31 0.171 0.465 0.418 -0.016 0.191 -0.009
32 0.186 0.486 0.437 -0.062 0.159 -0.032
33 0.188 0.479 0.431 -0.047 0.172 -0.024
34 0.172 0.498 0.448 -0.056 0.171 -0.029
35 0.198 0.497 0.447 -0.020 0.190 -0.010
36 0.170 0.471 0.424 -0.004 0.167 -0.002
37 0.186 0.482 0.434 -0.046 0.151 -0.024
38 0.190 0.551 0.496 0.008 0.134 0.004
39 0.195 0.492 0.443 -0.027 0.127 -0.014
40 0.167 0.502 0.452 -0.016 0.171 -0.008
41 0.603 0.100 0.090 0.314 0.763 0.163
42 0.609 0.163 0.147 0.291 0.751 0.151
43 0.617 0.101 0.091 0.308 0.778 0.160
44 0.608 0.106 0.095 0.286 0.749 0.149
45 0.611 0.162 0.146 0.337 0.775 0.175
46 0.614 0.126 0.113 0.290 0.751 0.151
47 0.612 0.112 0.101 0.315 0.784 0.163
48 0.628 0.096 0.086 0.252 0.827 0.131
49 0.611 0.107 0.096 0.285 0.748 0.148
50 0.617 0.101 0.091 0.303 0.780 0.157
51 0.609 0.124 0.111 0.322 0.858 0.168
52 0.624 0.106 0.095 0.334 0.774 0.174
53 0.620 0.113 0.102 0.280 0.745 0.145
54 0.609 0.102 0.091 0.325 0.798 0.169
55 0.623 0.113 0.101 0.276 0.810 0.143
56 0.609 0.143 0.129 0.304 0.758 0.158
57 0.620 0.100 0.090 0.268 0.785 0.139
58 0.622 0.108 0.097 0.274 0.760 0.143
59 0.619 0.179 0.161 0.292 0.760 0.152
60 0.606 0.093 0.084 0.261 0.792 0.136
61 0.628 0.088 0.079 0.292 0.852 0.152
62 0.620 0.100 0.090 0.321 0.795 0.167
63 0.601 0.150 0.135 0.288 0.750 0.150
64 0.617 0.095 0.085 0.259 0.801 0.135
65 0.613 0.131 0.118 0.287 0.820 0.149
66 0.631 0.134 0.121 0.296 0.850 0.154
67 0.631 0.093 0.084 0.251 0.828 0.130
68 0.621 0.126 0.113 0.259 0.830 0.135
69 0.610 0.121 0.109 0.292 0.769 0.152
70 0.616 0.170 0.153 0.292 0.752 0.152
71 0.627 0.154 0.139 0.321 0.794 0.167
72 0.625 0.110 0.099 0.266 0.790 0.138
73 0.606 0.148 0.133 0.305 0.770 0.159
74 0.608 0.092 0.083 0.290 0.799 0.151
75 0.607 0.091 0.082 0.288 0.810 0.150
76 0.604 0.139 0.125 0.284 0.752 0.148
77 0.620 0.111 0.100 0.279 0.745 0.145
78 0.627 0.123 0.111 0.347 0.780 0.180
79 0.610 0.116 0.104 0.296 0.754 0.154
80 0.627 0.151 0.136 0.300 0.756 0.156
