 0 1 2 3
attr_01 -1 1 1 0
attr_02 1 0 1 -1
attr_03 0 0 0 0
attr_04 1 0 0 1
attr_05 0 1 -1 1
attr_06 -1 1 -1 0
attr_07 0 1 -1 0
attr_08 1 -1 1 -1
attr_09 1 0 -1 -1
attr_10 0 1 1 0
attr_11 0 1 -1 -1
attr_12 -1 0 1 0
attr_13 -1 -1 -1 0
attr_14 -1 1 -1 -1
attr_15 -1 0 -1 0
attr_16 0 1 1 -1
attr_17 1 -1 1 0
attr_18 -1 0 -1 1
attr_19 0 -1 -1 1
attr_20 1 1 -1 -1
attr_21 -1 -1 0 1
attr_22 0 -1 1 1
attr_23 1 1 0 1
attr_24 0 0 1 -1
attr_25 1 -1 -1 -1
attr_26 0 -1 -1 -1
attr_27 -1 1 0 1
attr_28 1 -1 0 0
attr_29 -1 0 0 1
attr_30 0 0 -1 1
attr_31 -1 -1 1 0
attr_32 -1 0 1 -1
attr_33 -1 -1 1 -1
attr_34 -1 0 0 -1
attr_35 0 -1 0 0
attr_36 -1 1 1 1
attr_37 -1 -1 1 1
attr_38 0 -1 0 1
attr_39 1 1 1 1
attr_40 1 0 0 -1
attr_41 0 0 1 0
attr_42 1 1 0 -1
attr_43 0 0 0 -1
attr_44 1 1 0 0
attr_45 1 0 1 0
attr_46 0 1 1 1
attr_47 1 0 0 0
attr_48 -1 0 1 1
attr_49 1 -1 -1 1
attr_50 0 -1 -1 0
attr_51 -1 -1 0 0
attr_52 -1 1 0 0
attr_53 1 0 1 1
attr_54 0 -1 1 -1
attr_55 0 1 0 -1
attr_56 1 1 1 0
attr_57 -1 1 0 -1
attr_58 1 -1 -1 0
attr_59 -1 1 1 -1
attr_60 0 0 -1 0
attr_61 -1 -1 -1 1
attr_62 1 -1 0 -1
attr_63 0 -1 1 0
attr_64 1 1 -1 0
attr_65 -1 0 0 0
attr_66 -1 -1 0 -1
attr_67 0 0 1 1
attr_68 1 0 -1 0
attr_69 1 1 1 -1
attr_70 1 0 -1 1
attr_71 1 -1 1 1
attr_72 0 1 0 1
attr_73 -1 -1 -1 -1
attr_74 0 0 0 1
attr_75 0 1 0 0
attr_76 -1 1 -1 1
attr_77 0 -1 0 -1
attr_78 1 1 -1 1
attr_79 -1 0 -1 -1
attr_80 1 -1 0 1
attr_81 0 0 -1 -1
